Animal,imageLink,Water,Walks,Tusks,Tunnels,Tree,Toughskin,Timid,Tail,Swims,Stripes,Strength,Strainteeth,Stalker,Spots,Speed,Solitary,Smelly,Smart,Skimmer,Size,Scavenger,Quadrupedal,Plankton,Plains,Paws,Patches,Pads,Oldworld,Ocean,Nocturnal,Newworld,Nestspot,Muscle,Mountains,Meatteeth,Longneck,Longleg,Lean,Jungle,Insects,Inactive,Hunter,Horns,Hops,Hooves,Hibernate,Hands,Hairless,Group,Ground,Grazer,Furry,Forest,Forager,Flys,Flippers,Fish,Fierce,Fields,Domestic,Desert,Coastal,Claws,Chewteeth,Cave,Bush,Bulbous,Buckteeth,Bipedal,Arctic,Agility,Active
Bat,https://github.com/Imageomics/Andromeda/raw/main/datasets/cartoonAnimalsFull/bat.png,1.39,2.5,0,0,56.97,30,8.98,15.11,0,0,7.5,0,8.12,1.25,80.96,19.97,30.33,32.3,0,1.25,28.22,6.48,0,5.91,7.5,1.25,0,65.69,0,98.86,65.69,34.91,35.73,31.25,62.03,5.42,10.96,45.69,37.52,46.43,36.81,43.28,0,2.5,0,45.3,5.28,40.61,62.25,13.14,10.62,38.75,58.01,24.38,95.9,0,6.25,32.57,16.41,5.56,11.62,9.38,54.12,26.18,80.62,14.03,15.28,8.12,23.75,0,42.11,36.24
Beaver,https://github.com/Imageomics/Andromeda/raw/main/datasets/cartoonAnimalsFull/beaver.png,65.62,10.94,0,8.75,0,25,31.88,86.56,74.06,0,32.81,29.69,1.25,7.5,25,31.88,3.12,41.88,6.25,6.88,7.5,24.38,3.12,0,39.38,0,24.38,19.06,0,21.88,63.44,33.44,24.38,0,5,0,0,8.75,0,0,2.5,3.75,0,0,0,36.88,13.12,1.25,23.44,31.25,4.69,46.25,19.06,10.62,0,4.38,48.75,3.75,15.62,13.12,0,33.75,30.62,45.31,0,0,37.5,83.12,12.5,11.25,36.25,67.81
Blue Whale,https://github.com/Imageomics/Andromeda/raw/main/datasets/cartoonAnimalsFull/blueWhale.png,76.61,0,0,0,0,45.17,44.58,26.42,71.82,2.5,55.26,69.32,0,23.75,21.42,25.99,13.75,39.06,45.73,86.46,0,0,75.25,0,0,15.31,0,30.21,74.11,6.25,33.96,10.83,25.37,0,0,0,0,11.88,0,0,35.48,5.94,0,0,0,0,0,64.47,33.12,0,0,0,0,0,0,64.87,28.81,7.5,0,5,0,5.31,0,0,0,0,65.15,0,0,32.75,7.06,7.88
Bobcat,https://github.com/Imageomics/Andromeda/raw/main/datasets/cartoonAnimalsFull/bobcat.png,0,56.83,0,0,24.9,2.5,0,64.5,0,2.5,32.99,0,66.98,33.55,73.97,59.47,9.59,42.89,0,19.93,13.54,74.25,0,27.05,62.75,7.5,22.81,42.75,0,20.73,51.79,20.28,47.3,50.56,73.9,0,3.75,42.51,17.08,0,6.38,81.44,0,3.75,0,28.02,0,0,13.47,42.51,0,64.71,30.95,36.97,0,0,15.28,71.95,14.38,3.75,15.97,1.39,71.75,5.92,26.2,18.34,0,0,0,6.67,71.74,61.13
Buffalo,https://github.com/Imageomics/Andromeda/raw/main/datasets/cartoonAnimalsFull/buffalo.png,9.38,59.53,0,0,0,42.36,19.88,5.39,0,0,50.81,0,0,0,24.79,8.8,20.97,10,0,84.91,0,61.82,0,68.84,0,2.08,0,18.33,0,0,55.83,9.38,21.13,4.63,0.62,0,7.5,0,0,0,29,6.67,49.87,0,31.67,0,0,6.46,52.99,51.34,54.04,39.24,0,23.67,0,0,0,26.99,14.55,2.31,0,0,0,31.19,0,6.94,50.83,17.15,0,0,4.38,18.94
Chihuahua,https://github.com/Imageomics/Andromeda/raw/main/datasets/cartoonAnimalsFull/chihuahua.png,1.25,70.71,0,0,9.72,0.62,36.73,48.8,5,1.56,4.3,4.38,1.38,11.79,27.87,44.91,29.4,29.84,0,0,15.2,81.01,0,5.08,73.54,17.1,22.1,37.23,0,0,63.86,9.8,6.88,1.88,52.61,7.5,0,34.3,0,1.25,13.06,6.58,0,8.75,0,0,0,16.46,1.25,72.94,3.75,51.16,5.08,3.2,0,0,0,33.03,11.47,73.55,6.33,1.51,29.76,6.25,0,3.2,0.62,0,3.12,0,20.24,56.13
Chimpanzee,https://github.com/Imageomics/Andromeda/raw/main/datasets/cartoonAnimalsFull/chimpanzee.png,1.25,59.72,0,0,81.36,20.96,29.64,54.26,3.75,0,41.19,0,8.75,0,56.94,8.75,49.83,84.36,0,28.29,15.36,44.53,0,15.58,9.31,0.62,9.69,74.34,0,9.81,52.98,41.93,41.83,27.35,24.34,2.5,65.34,45.75,91.98,22.28,7.5,7.5,0,10.31,0,0,77.77,0.46,74.51,28.7,11.94,81.98,63.58,33.53,0,0,2.5,23.1,0,36.62,5,8.75,14.44,52.62,10,65.09,6.56,11.84,66.82,1.25,75.86,77.8
Collie,https://github.com/Imageomics/Andromeda/raw/main/datasets/cartoonAnimalsFull/collie.png,0,61.23,0,0,0,1.25,43.09,67.09,0,0,19.55,6.25,3.75,9.09,49.05,45.99,17.54,42.17,0,26.31,4.54,70.14,0,18.36,76.17,37,12.95,40.72,0,0,55.39,18.57,15.34,12.5,49.64,1.25,15.91,21.02,0,0,1.88,22.27,0,0,0,0,0,0,0.62,54.43,0,78.21,0,6.16,0,0,0,5.25,17.47,79.11,0,6.25,16.7,32.83,0,10.86,8.07,8.12,0.62,0,32.05,54.26
Cow,https://github.com/Imageomics/Andromeda/raw/main/datasets/cartoonAnimalsFull/cow.png,0.55,58.21,4.95,0.19,0,42.45,47.87,62.77,0.46,4.09,47.02,0.19,0,31.35,10.89,5.04,34.8,13.97,0,68.31,0.72,62.42,0,30.36,3.8,26.67,7.61,61.57,0,7.14,61.94,18.89,18.63,9.17,2.8,6.35,13.72,5.13,0.59,2.32,44.12,0,30.37,0,42.86,0,0,19.46,51.57,57.36,60.89,32.05,10.21,5.24,0,0,0,3.34,57.48,72.99,0.31,8.76,0,39.99,0.32,8.03,35.81,14.58,0,0,16.06,20.93
Dalmatian,https://github.com/Imageomics/Andromeda/raw/main/datasets/cartoonAnimalsFull/dalmatian.png,1.25,67.99,0,0,6.25,7.5,31.67,53.75,9.38,0,34.93,0,8.75,100,61.74,29.38,0,53.26,0,39.31,0,77.92,0,0,69.03,37.08,7.5,29.86,0,2.5,63.47,11.25,23.75,0,35.56,0,40.07,63.68,0,0,3.75,7.5,0,0,0,0,0,25.9,24.44,41.39,0,27.15,0,0,0,0,0,9.38,1.25,72.71,0,1.25,4.17,34.44,0,0,0,0,10.14,0,38.68,37.5
