ID,SEG_Image,BB_Image,Genus,Family,ScientificName,YearCollected,Lat,Lon,State,Locality,BasinName,BasinID,SubbasinID,Score,Angle_head,Ratio_bodyLenByBodyWid,Ratio_headLenByBodyLen,Ratio_headLenByTrunkLen,Ratio_trunkLenByBodyLen,Ratio_headWidthByBodyWid,Ratio_snout2EyeLenByHeadLen,Ratio_dorsFinLenByBodyLen,Ratio_eyeAreaByHeadArea,Ratio_headAreaByBodyArea,Ratio_trunkAreaByBodyArea,Ratio_eyeDiamByHeadWid,Ratio_bodyWidthByhHeadWidth,Loc_eyeOnHeadHoriz,Loc_eyeOnHeadVertical,Loc_snoutOnHeadVertical,Loc_dorsFinOnBodyHoriz,Loc_pelvFinOnBodyHoriz,Loc_analFinOnBodyHoriz,Y1950_spAvgFlow,Y1950_spMinFlow,Y1950_spMaxFlow,Y1950_spAvgWtrTemp,Y1950_spMinWtrTemp,Y1950_spMaxWtrTemp,Y1950_faAvgFlow,Y1950_faMinFlow,Y1950_faMaxFlow,Y1950_faAvgWtrTemp,Y1950_faMinWtrTemp,Y1950_faMaxWtrTemp,Y1960_spAvgFlow,Y1960_spMinFlow,Y1960_spMaxFlow,Y1960_spAvgWtrTemp,Y1960_spMinWtrTemp,Y1960_spMaxWtrTemp,Y1960_faAvgFlow,Y1960_faMinFlow,Y1960_faMaxFlow,Y1960_faAvgWtrTemp,Y1960_faMinWtrTemp,Y1960_faMaxWtrTemp,Y1970_spAvgFlow,Y1970_spMinFlow,Y1970_spMaxFlow,Y1970_spAvgWtrTemp,Y1970_spMinWtrTemp,Y1970_spMaxWtrTemp,Y1970_faAvgFlow,Y1970_faMinFlow,Y1970_faMaxFlow,Y1970_faAvgWtrTemp,Y1970_faMinWtrTemp,Y1970_faMaxWtrTemp,Y1980_spAvgFlow,Y1980_spMinFlow,Y1980_spMaxFlow,Y1980_spAvgWtrTemp,Y1980_spMinWtrTemp,Y1980_spMaxWtrTemp,Y1980_faAvgFlow,Y1980_faMinFlow,Y1980_faMaxFlow,Y1980_faAvgWtrTemp,Y1980_faMinWtrTemp,Y1980_faMaxWtrTemp,Y1990_spAvgFlow,Y1990_spMinFlow,Y1990_spMaxFlow,Y1990_spAvgWtrTemp,Y1990_spMinWtrTemp,Y1990_spMaxWtrTemp,Y1990_faAvgFlow,Y1990_faMinFlow,Y1990_faMaxFlow,Y1990_faAvgWtrTemp,Y1990_faMinWtrTemp,Y1990_faMaxWtrTemp,Y2000_spAvgFlow,Y2000_spMinFlow,Y2000_spMaxFlow,Y2000_spAvgWtrTemp,Y2000_spMinWtrTemp,Y2000_spMaxWtrTemp,Y2000_faAvgFlow,Y2000_faMinFlow,Y2000_faMaxFlow,Y2000_faAvgWtrTemp,Y2000_faMinWtrTemp,Y2000_faMaxWtrTemp,Y2010_spAvgFlow,Y2010_spMinFlow,Y2010_spMaxFlow,Y2010_spAvgWtrTemp,Y2010_spMinWtrTemp,Y2010_spMaxWtrTemp,Y2010_faAvgFlow,Y2010_faMinFlow,Y2010_faMaxFlow,Y2010_faAvgWtrTemp,Y2010_faMinWtrTemp,Y2010_faMaxWtrTemp,Y2020_spAvgFlow,Y2020_spMinFlow,Y2020_spMaxFlow,Y2020_spAvgWtrTemp,Y2020_spMinWtrTemp,Y2020_spMaxWtrTemp,Y2020_faAvgFlow,Y2020_faMinFlow,Y2020_faMaxFlow,Y2020_faAvgWtrTemp,Y2020_faMinWtrTemp,Y2020_faMaxWtrTemp
zj44g06x,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/FMNH/4356wh3b.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/FMNH/2n62wz12.png,Alosa,Clupeidae,Alosa pseudoharengus,0,37.42778,-76.414263,Virginia,,Chesapeake Basin,5,1209,0.112076098337887,80.5442151011438,2.68885547102889,0.26538028300201,0.359765167369419,0.73764863047319,0.794246498524067,0.443817039179638,0.217283701925693,0.112514911614792,0.178568316275647,0.801340085401396,0.278850607353786,1.15899420884139,0.612068965517241,0.570652173913043,0.467391304347826,0.439102564102564,0.488782051282051,0.620192307692308,0.847433329,0.6463,0.9989,10.4726669,7.438,12.64,2.055666685,1.221,2.852,8.0030001,5.606,10.64,1.095166683,0.5855,1.664,11.0759999,9.518,12.67,0.957599978,0.6831,1.31,9.444333553,6.503,11.77,1.292300026,0.9899,1.463,10.71066697,8.352,12.89,1.549566686,0.8517,2.095,9.944333394,7.283,12.26,1.310433328,0.6383,2.073,11.1266667,9.59,12.36,2.126166681,0.8725,4.552,9.514333248,6.673,11.67,2.306333303,2.075,2.557,10.55666637,8.65,11.86,1.778333386,1.172,2.407,9.223999977,6.512,10.59,0.538066665,0.3326,0.6633,11.41300011,9.819,12.93,1.27580001,0.2274,2.168,10.9179999,8.644,12.96,3.286333323,3.022,3.711,7.815333366,6.949,8.875,5.340666691,3.977,6.894,6.086333434,5.195,7.244,1.112066636,0.3224,2.149,12.12399991,9.492,14.17,1.341499984,0.6594,2.458,10.22399982,7.162,12.23
rk51815f,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/INHS/cc767g5s.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/INHS/gx81d283.png,Alosa,Clupeidae,Alosa pseudoharengus,1987,41.39845,-88.28279,Illinois,Grundy,Upper Mississippi River Basin,27,768,0.157528367789869,69.4822608769773,2.63330668504979,0.269162724281491,0.367256217348987,0.732901749695139,0.731756394551976,0.342125649943012,0.155902551063749,0.0592875477368059,0.172597114917067,0.817170025393052,0.211790920726811,1.33430382809835,0.296703296703297,0.628930817610063,0.591194968553459,0.505084745762712,0.513559322033898,0.722033898305085,179.9166692,91.85,236.6,20.75666618,15.99,24.64,142.3800023,98.44,227.6,19.04666678,12.28,23.77,224.200002,172.8,296.5,21.51000023,18.43,25.27,161.600001,146.4,169.3,17.91666635,13.95,22.75,133.5466665,99.14,155.2,19.61666711,12.05,26.61,73.87666575,68.58,80.49,19.74333318,13.18,24.59,124.9333344,103.6,144.1,22.09333293,20.75,23.71,104.149999,90.95,118.9,17.72433345,9.973,23.09,180.0666656,158.5,214.2,21.18000031,16.22,25.12,214.6333364,158.3,279.7,17.57999992,10.75,23.52,227.6333313,195,271.8,22.62333298,19.14,24.89,140.299998,120.5,153.2,21.02666632,15.79,26.64,167.6333364,134,187.6,21.30666669,16.77,24.82,168.7533315,87.36,266.9,19.47666645,15.7,23.51,61.89666621,48.02,79.46,24.28666687,16.31,29.19,52.25666682,40.79,67.24,19.0533336,12.37,23.45
vc065q5d,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/INHS/9x98xz0n.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/INHS/kn21vt8s.png,Alosa,Clupeidae,Alosa pseudoharengus,2001,41.602602,-87.193199,Indiana,Porter,Great Lakes Basin,33,1922,0.117943453305071,62.0120289561922,3.40890527760268,0.278015612307892,0.384395410301261,0.723254245127442,0.785389071858328,0.406332648438697,0.18900826771342,0.12606876478079,0.199318321911599,0.775553863446826,0.349464247296646,1.26474910707933,0.276699029126214,0.621848739495798,0.495798319327731,0.477927063339731,0.54510556621881,0.817658349328215,7.631333232,1.772,14.95,21.23000018,16.31,25.09,2.955333273,1.222,3.922,19.41333326,12.48,24.47,9.441666444,5.78,13.98,22.5733331,20.14,26.25,4.046999931,2.77,5.009,17.93333371,13.93,22.68,5.612333377,1.733,9.71,19.78333314,11.44,27.05,1.267666658,1.096,1.531,20.12666702,13.41,25.45,4.833333333,4.244,5.7,23.48000018,22.65,23.95,3.075000008,1.374,4.539,17.93866634,9.766,23.38,4.583333492,4.031,5.406,21.6766669,17.16,25.45,3.52000006,2.512,4.387,17.35333316,10.49,23.05,8.453999996,6.029,10.84,23.62666702,20.2,25.94,2.360000014,1.57,2.89,21.36333338,16.11,27.21,5.557999929,4.869,6.733,21.74333318,18.22,24.27,3.508299927,0.7419,8.332,19.60666656,16.32,23.14,2.268666665,1.276,2.933,23.9399999,15.48,29.02,2.599666675,1.635,3.593,18.94333267,12.32,23.55
1g182z20,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/FMNH/gr02jn37.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/FMNH/qr14gj54.png,Alosa,Clupeidae,Alosa pseudoharengus,1977,41.639202,-87.454764,Indiana,Lake,Great Lakes Basin,33,1872,0.184197141523764,78.6836338254888,3.2179865857058,0.263983330250136,0.357710554084623,0.737980267106365,0.788511675962996,0.467078325511001,0.152526141111207,0.116120113662545,0.186467134469426,0.791880280681656,0.310844142763091,1.04959851405386,1.44897959183673,0.651515151515151,0.636363636363636,0.432291666666667,0.435763888888889,0.635416666666667,15.69499985,4.055,31.31,20.77666664,16.19,24.25,6.388000091,3.063,8.63,19.00666682,12.42,23.85,20.31333351,12.77,28.86,21.88666662,19.27,25.71,9.427333196,6.392,11.73,17.64000034,13.63,22.35,12.01433357,4.393,20.52,19.29000028,11.09,26.53,3.07100002,2.842,3.491,19.79999987,13.18,25.07,11.12900003,9.727,12.9,22.42999967,21.89,23.48,7.015333255,3.385,10.33,17.70399984,9.642,23.07,10.43366655,9.301,11.98,21.24666659,16.37,25.15,7.743999958,5.56,9.562,17.11000029,10.37,22.76,18.61333338,13.6,23.71,22.70000013,19.27,24.82,5.792999983,3.905,6.925,21,15.85,26.73,12.6233333,11.28,14.92,21.19999949,17.32,23.97,7.890666882,2.119,18.03,19.35333316,16,22.89,5.199666659,3.014,6.861,23.69000053,15.34,28.69,5.829666694,3.642,7.988,18.72333336,12.25,23.17
qb486m3z,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/INHS/7b38g993.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/INHS/1m36dj84.png,Alosa,Clupeidae,Alosa pseudoharengus,1999,41.6493,-87.60645,Illinois,Cook,Great Lakes Basin,33,1872,0.123050906703818,64.0891672937118,2.95514523136572,0.346723704507453,0.512577180819178,0.676432189106301,0.916996241653827,0.337533831667519,0.172449965954037,0.102456249675443,0.203618330619409,0.775519698860152,0.256289768805783,1.1954050941828,0.421052631578947,0.601123595505618,0.51123595505618,0.471428571428571,0.520634920634921,0.804761904761905,15.69499985,4.055,31.31,20.77666664,16.19,24.25,6.388000091,3.063,8.63,19.00666682,12.42,23.85,20.31333351,12.77,28.86,21.88666662,19.27,25.71,9.427333196,6.392,11.73,17.64000034,13.63,22.35,12.01433357,4.393,20.52,19.29000028,11.09,26.53,3.07100002,2.842,3.491,19.79999987,13.18,25.07,11.12900003,9.727,12.9,22.42999967,21.89,23.48,7.015333255,3.385,10.33,17.70399984,9.642,23.07,10.43366655,9.301,11.98,21.24666659,16.37,25.15,7.743999958,5.56,9.562,17.11000029,10.37,22.76,18.61333338,13.6,23.71,22.70000013,19.27,24.82,5.792999983,3.905,6.925,21,15.85,26.73,12.6233333,11.28,14.92,21.19999949,17.32,23.97,7.890666882,2.119,18.03,19.35333316,16,22.89,5.199666659,3.014,6.861,23.69000053,15.34,28.69,5.829666694,3.642,7.988,18.72333336,12.25,23.17
f453g611,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/INHS/sm99783m.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/INHS/s887cw8b.png,Alosa,Clupeidae,Alosa pseudoharengus,1999,41.65893,-87.57245,Illinois,Cook,Great Lakes Basin,33,1872,0.113587560839705,75.0179507623438,3.2580421557546,0.259241676394236,0.349442366510394,0.741872483817802,0.902658911940966,0.442205860328396,0.175162342023772,0.105377808032675,0.197340139709833,0.781864588930682,0.280625714650798,1.07533223085512,0.492063492063492,0.626582278481013,0.493670886075949,0.457894736842105,0.494736842105263,0.749122807017544,15.69499985,4.055,31.31,20.77666664,16.19,24.25,6.388000091,3.063,8.63,19.00666682,12.42,23.85,20.31333351,12.77,28.86,21.88666662,19.27,25.71,9.427333196,6.392,11.73,17.64000034,13.63,22.35,12.01433357,4.393,20.52,19.29000028,11.09,26.53,3.07100002,2.842,3.491,19.79999987,13.18,25.07,11.12900003,9.727,12.9,22.42999967,21.89,23.48,7.015333255,3.385,10.33,17.70399984,9.642,23.07,10.43366655,9.301,11.98,21.24666659,16.37,25.15,7.743999958,5.56,9.562,17.11000029,10.37,22.76,18.61333338,13.6,23.71,22.70000013,19.27,24.82,5.792999983,3.905,6.925,21,15.85,26.73,12.6233333,11.28,14.92,21.19999949,17.32,23.97,7.890666882,2.119,18.03,19.35333316,16,22.89,5.199666659,3.014,6.861,23.69000053,15.34,28.69,5.829666694,3.642,7.988,18.72333336,12.25,23.17
j756q579,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/FMNH/8v077d28.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/FMNH/xx97q827.png,Alosa,Clupeidae,Alosa pseudoharengus,1982,41.682176,-87.584532,Illinois,Cook,Great Lakes Basin,33,1872,0.13822852864265,70.1531623150858,2.83430294886207,0.233479277322044,0.304593449592388,0.766527571865021,0.677980649657827,0.428136500182776,0.200875926987003,0.10333420388265,0.158811574566922,0.824777757807856,0.283102769705668,1.26708734184833,0.768115942028985,0.669117647058823,0.507352941176471,0.452961672473868,0.397212543554007,0.653310104529617,15.69499985,4.055,31.31,20.77666664,16.19,24.25,6.388000091,3.063,8.63,19.00666682,12.42,23.85,20.31333351,12.77,28.86,21.88666662,19.27,25.71,9.427333196,6.392,11.73,17.64000034,13.63,22.35,12.01433357,4.393,20.52,19.29000028,11.09,26.53,3.07100002,2.842,3.491,19.79999987,13.18,25.07,11.12900003,9.727,12.9,22.42999967,21.89,23.48,7.015333255,3.385,10.33,17.70399984,9.642,23.07,10.43366655,9.301,11.98,21.24666659,16.37,25.15,7.743999958,5.56,9.562,17.11000029,10.37,22.76,18.61333338,13.6,23.71,22.70000013,19.27,24.82,5.792999983,3.905,6.925,21,15.85,26.73,12.6233333,11.28,14.92,21.19999949,17.32,23.97,7.890666882,2.119,18.03,19.35333316,16,22.89,5.199666659,3.014,6.861,23.69000053,15.34,28.69,5.829666694,3.642,7.988,18.72333336,12.25,23.17
gn16w18g,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/INHS/3777vr2g.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/INHS/hx141s44.png,Alosa,Clupeidae,Alosa pseudoharengus,2000,41.88851,-87.6117,Illinois,Cook,Great Lakes Basin,33,1836,0.121658949356542,65.4896534131361,3.17056232190987,0.293532327030096,0.414715448010327,0.707792122136687,0.935111594834741,0.458039174376003,0.146892405484355,0.135311025543685,0.234229313279642,0.734076878128096,0.325860195383946,1.08160768873958,0.436781609195402,0.64327485380117,0.52046783625731,0.477815699658703,0.534129692832764,0.766211604095563,5.12500004,1.577,10.55,21.4533329,16.4,25.73,2.768833299,0.7265,5.085,19.53000005,12.49,24.78,8.8780001,5.039,12.85,23.01999982,20.55,26.87,4.568333387,2.53,6.346,17.90000025,13.85,22.66,4.309666713,1.602,7.251,20.17333285,11.67,27.14,1.342999975,1.152,1.55,20.12333298,13.4,25.46,4.255999962,3.833,4.613,23.89000003,23.03,24.75,2.654000004,1.078,3.529,17.88933341,9.748,23.26,5.671666622,4.601,7.639,21.74666659,17.26,25.41,3.723333359,2.581,5.402,17.34000015,10.49,23,7.355666637,6.471,9.046,24.08333333,20.31,26.69,2.290000041,1.417,3.114,21.39666621,16.09,27.39,5.503333251,5.346,5.628,21.82333374,18.42,24.26,2.712200065,0.6936,6.399,19.56333288,16.31,23.06,2.100333293,1.236,3.205,23.97333336,15.6,29.01,2.880266726,0.9528,4.359,18.91333357,12.31,23.48
m274z368,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/FMNH/5834123s.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/FMNH/1997p82m.png,Alosa,Clupeidae,Alosa pseudoharengus,0,41.928498,-73.724548,New York,,Hudson Basin,14,250,0.0937247541641074,66.3876862204754,2.92684047311146,0.258500469340805,0.347021752446627,0.744911428515026,0.750984268425914,0.482278416570728,0.159473467562355,0.12813650050184,0.178635461738902,0.798474815328345,0.318565478950429,1.20452849863572,0.560606060606061,0.66887417218543,0.576158940397351,0.473509933774834,0.513245033112583,0.637417218543046,0.293933332,0.2345,0.403,14.43466632,9.884,18.71,0.389733344,0.218,0.6794,15.68666649,10.01,19.31,2.338999987,2.027,2.737,19.05666733,16.87,21.6,2.066999992,1.812,2.254,14.92233308,8.927,20.47,2.838333368,2.232,3.389,17.81666629,11.82,23.06,2.223333319,1.992,2.362,15.89666684,9.93,20.19,2.132666707,1.774,2.551,18.84333356,15.52,22.19,1.556666652,1.42,1.729,16.08666643,10.28,21.31,2.620666663,2.194,2.846,18.17000008,13.42,22.34,2.290000002,1.867,3.059,16.1613334,9.544,21.03,1.840666652,1.654,2.077,20.07666651,16.78,23.23,1.376999974,1.294,1.453,19.04333305,13.84,24.33,2.151666641,1.987,2.439,18.88333289,13.89,22.63,2.612666686,2.52,2.696,17.13333384,12.68,21.86,1.863666654,1.507,2.24,20.8266662,14.7,25.46,1.622999986,1.315,2.041,17.89333344,12.18,22.22
hd67f48j,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/FMNH/0p48g34n.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/FMNH/sr65m145.png,Alosa,Clupeidae,Alosa pseudoharengus,1941,44.318286,-69.036658,Maine,Waldo,Maine bay Basin,16,409,0.120992528583487,76.3800809535407,3.21956132185129,0.239510094259878,0.314784832389849,0.760869233887526,0.894358920002103,0.444714818641958,0.136179963619303,0.0843940805132982,0.181321774375141,0.80337574119943,0.242309615982407,0.998296911212884,0.548387096774194,0.643617021276596,0.515957446808511,0.451994091580502,0.506646971935007,0.725258493353028,0.590733349,0.393,0.8514,14.53666655,10.07,18.57,0.688899984,0.3181,1.402,14.98600038,9.328,18.27,1.144233346,0.8319,1.631,16.88666693,13.72,19.9,0.669233342,0.6102,0.7145,14.17266655,8.378,19.81,1.77366666,1.263,2.415,16.52999942,10.92,21.21,1.768666665,1.418,2.313,14.50733312,8.912,19.25,1.090833326,0.8074,1.469,16.79999987,12.35,20.92,0.675533334,0.602,0.7525,15.14199988,9.686,20.41,1.051999986,0.7473,1.494,17.03666655,12.3,21.06,0.760066668,0.6256,0.9929,15.21499983,9.175,20.08,0.703499993,0.5958,0.8634,18.03333314,14.36,21.3,0.496100008,0.4612,0.5457,16.81999969,12.32,21.72,1.210466683,0.8884,1.646,17.74999968,13.69,21.51,1.708166679,0.9345,2.188,16.23000018,11.18,21.27,0.899100025,0.6695,1.213,18.8799998,12.98,23.64,0.688533326,0.5627,0.8919,16.69333363,10.88,21.1
