ID,SEG_Image,BB_Image,Genus,Family,ScientificName,YearCollected,Lat,Lon,State,Locality,BasinName,BasinID,SubbasinID,Score,Angle_head,Ratio_bodyLenByBodyWid,Ratio_headLenByBodyLen,Ratio_headLenByTrunkLen,Ratio_trunkLenByBodyLen,Ratio_headWidthByBodyWid,Ratio_snout2EyeLenByHeadLen,Ratio_dorsFinLenByBodyLen,Ratio_eyeAreaByHeadArea,Ratio_headAreaByBodyArea,Ratio_trunkAreaByBodyArea,Ratio_eyeDiamByHeadWid,Ratio_bodyWidthByhHeadWidth,Loc_eyeOnHeadHoriz,Loc_eyeOnHeadVertical,Loc_snoutOnHeadVertical,Loc_dorsFinOnBodyHoriz,Loc_pelvFinOnBodyHoriz,Loc_analFinOnBodyHoriz,Y1950_spAvgFlow,Y1950_spMinFlow,Y1950_spMaxFlow,Y1950_spAvgWtrTemp,Y1950_spMinWtrTemp,Y1950_spMaxWtrTemp,Y1950_faAvgFlow,Y1950_faMinFlow,Y1950_faMaxFlow,Y1950_faAvgWtrTemp,Y1950_faMinWtrTemp,Y1950_faMaxWtrTemp,Y1960_spAvgFlow,Y1960_spMinFlow,Y1960_spMaxFlow,Y1960_spAvgWtrTemp,Y1960_spMinWtrTemp,Y1960_spMaxWtrTemp,Y1960_faAvgFlow,Y1960_faMinFlow,Y1960_faMaxFlow,Y1960_faAvgWtrTemp,Y1960_faMinWtrTemp,Y1960_faMaxWtrTemp,Y1970_spAvgFlow,Y1970_spMinFlow,Y1970_spMaxFlow,Y1970_spAvgWtrTemp,Y1970_spMinWtrTemp,Y1970_spMaxWtrTemp,Y1970_faAvgFlow,Y1970_faMinFlow,Y1970_faMaxFlow,Y1970_faAvgWtrTemp,Y1970_faMinWtrTemp,Y1970_faMaxWtrTemp,Y1980_spAvgFlow,Y1980_spMinFlow,Y1980_spMaxFlow,Y1980_spAvgWtrTemp,Y1980_spMinWtrTemp,Y1980_spMaxWtrTemp,Y1980_faAvgFlow,Y1980_faMinFlow,Y1980_faMaxFlow,Y1980_faAvgWtrTemp,Y1980_faMinWtrTemp,Y1980_faMaxWtrTemp,Y1990_spAvgFlow,Y1990_spMinFlow,Y1990_spMaxFlow,Y1990_spAvgWtrTemp,Y1990_spMinWtrTemp,Y1990_spMaxWtrTemp,Y1990_faAvgFlow,Y1990_faMinFlow,Y1990_faMaxFlow,Y1990_faAvgWtrTemp,Y1990_faMinWtrTemp,Y1990_faMaxWtrTemp,Y2000_spAvgFlow,Y2000_spMinFlow,Y2000_spMaxFlow,Y2000_spAvgWtrTemp,Y2000_spMinWtrTemp,Y2000_spMaxWtrTemp,Y2000_faAvgFlow,Y2000_faMinFlow,Y2000_faMaxFlow,Y2000_faAvgWtrTemp,Y2000_faMinWtrTemp,Y2000_faMaxWtrTemp,Y2010_spAvgFlow,Y2010_spMinFlow,Y2010_spMaxFlow,Y2010_spAvgWtrTemp,Y2010_spMinWtrTemp,Y2010_spMaxWtrTemp,Y2010_faAvgFlow,Y2010_faMinFlow,Y2010_faMaxFlow,Y2010_faAvgWtrTemp,Y2010_faMinWtrTemp,Y2010_faMaxWtrTemp,Y2020_spAvgFlow,Y2020_spMinFlow,Y2020_spMaxFlow,Y2020_spAvgWtrTemp,Y2020_spMinWtrTemp,Y2020_spMaxWtrTemp,Y2020_faAvgFlow,Y2020_faMinFlow,Y2020_faMaxFlow,Y2020_faAvgWtrTemp,Y2020_faMinWtrTemp,Y2020_faMaxWtrTemp
pk20wv94,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/INHS/9t54rq19.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/INHS/bp69f81c.png,Lepomis,Centrarchidae,Lepomis auritus,1974,29.50954,-81.94619,Florida,Marion,Florida Southeast Basin,11,143,0.078970753520001,60.1441760672664,2.99894938530794,0.345189387900778,0.523547144788455,0.659328183406016,0.686429917605815,0.365369220829583,0.478073409163652,0.160513515668607,0.208363793447199,0.758191001528544,0.405011107288826,1.44352441082407,0.385093167701863,0.552,0.312,0.354779411764706,0.391544117647059,0.623161764705882,24213.33333,18470,27150,23.84333356,21.89,25.12,23010,17230,27050,22.81000074,19.19,25.2,26303.33333,18670,31940,23.95999972,22.67,25.05,25210,20530,28680,22.84666697,20.12,24.65,26213.33333,24120,29850,23.46999931,21.47,24.88,25436.66667,22930,29290,22.96999995,20.3,25.08,28443.33333,25700,30270,23.64666684,21.97,24.68,25820,20710,30450,22.78666623,20.06,24.46,25330,23020,28670,24.10999997,22.97,25.33,26060,23260,28000,23.06666692,19.65,25.11,27620,26100,28470,24.02000046,22.37,25.42,27726.66667,24360,29600,23.46666654,21.82,24.73,26806.66667,24890,28070,23.79333305,21.91,25.34,26063.33333,25580,26420,23.21999931,20.96,25.22,26366.66667,22670,29780,24.75333341,22.8,26.26,23436.66667,17500,28390,23.3100001,20.01,25.43
zv09640r,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/INHS/hd35f67d.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/INHS/6j01nv10.png,Lepomis,Centrarchidae,Lepomis auritus,1984,29.72109,-100.03261,Texas,Real,Rio Grande River Basin,21,687,0.0733747971741877,65.7490513883059,2.61821360027613,0.446595461589428,0.792959518985898,0.563200832951184,0.670868076305253,0.358114092979133,0.447263677024517,0.132297958009779,0.268905353358803,0.695519017493929,0.389066094608474,1.39701319141256,0.359090909090909,0.589928057553957,0.330935251798561,0.337638376383764,0.40590405904059,0.619926199261993,2.528600022,0.2348,5.327,26.3233331,22.4,30.09,2.019666632,1.492,2.286,25.90000025,20.04,30.2,0.548366666,0.448,0.6347,25.79666646,22.95,27.72,4.77003335,0.4161,10.92,24.21999995,19.98,28.27,3.798299849,0.2557,10.44,24.486667,21.45,27.24,2.714233349,0.4197,3.926,24.02333323,19.66,27.63,0.602600018,0.5575,0.6729,25.66333326,23.1,27.32,0.50393333,0.3902,0.721,24.4533329,19.52,27.96,0.458933343,0.4239,0.5264,27.04333369,24.66,28.28,0.476466666,0.4039,0.5242,25,20.11,28.55,1.240333319,1.06,1.457,26.09333293,22.67,28.4,1.190999985,1.058,1.36,24.75333277,21.81,27.3,1.412999988,1.08,2.001,24.79000028,22.09,27.01,0.860766669,0.7636,1.016,24.91666667,20.58,28.03,0.363633325,0.2769,0.4992,26.85999997,23.34,28.76,0.292100012,0.2594,0.3282,25.39333344,20.45,28.82
4c519n49,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/INHS/m4364x1x.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/INHS/v324c56h.png,Lepomis,Centrarchidae,Lepomis auritus,1985,29.729207,-99.746143,Texas,Real,Rio Grande River Basin,21,765,0.0627742066567809,60.1563329741962,3.02644562016192,0.386885713816827,0.622434700159126,0.621568356837945,0.727134658590829,0.396818562694575,0.453066710810278,0.12992684790916,0.2560024596808,0.710735947675881,0.381865406152279,1.30675453724185,0.447916666666667,0.602836879432624,0.368794326241135,0.386666666666667,0.37,0.595,2.412433336,0.2603,4.33,26.52000046,22.59,30.19,2.255666693,1.883,2.731,26.16000048,20.27,30.28,0.598966678,0.3829,0.7788,26.02666664,23.2,27.97,4.65476657,0.2893,9.589,24.65000025,20.32,28.54,4.540299962,0.3278,12.37,24.82000033,21.61,27.57,2.744033257,0.3541,5.042,24.37333361,20.07,27.79,1.395666679,1.099,1.894,26.00333341,23.39,27.67,0.768099984,0.6727,0.9553,24.7166659,19.72,28.21,0.451000005,0.3712,0.5963,27.28999964,24.89,28.59,0.550466667,0.3346,0.7147,25.24333318,20.31,28.8,1.69933335,1.33,2.132,26.37666702,22.92,28.69,1.659666657,1.4,1.972,25.10999997,22.1,27.72,2.033333341,1.617,2.469,25.13666598,22.39,27.31,1.178066631,0.9622,1.489,25.11000061,20.68,28.37,0.424366673,0.2542,0.657,27.04666646,23.59,28.92,0.340233326,0.2475,0.3875,25.52333323,20.45,29.07
bq47jf5k,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/INHS/xj63fq38.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/INHS/ht07mq1v.png,Lepomis,Centrarchidae,Lepomis auritus,1996,29.9652,-98.89725,Texas,Kendall,Rio Grande River Basin,21,704,0.0739157879697268,60.2260422066656,2.9936248098771,0.390906420325228,0.638468619195043,0.612256277870114,0.623294518320075,0.357956449357977,0.472941295921339,0.134555492638732,0.222568804448855,0.747483340422515,0.411629029759583,1.59751507480034,0.38974358974359,0.593220338983051,0.372881355932203,0.346689895470383,0.376306620209059,0.574912891986063,16.00539741,0.006192,25.08,28.40999985,26.82,30,17.05666669,10.31,29.17,26.45000013,20.17,30.66,6.042666594,4.033,7.185,26.23333359,23.32,28.26,47.51199992,2.626,94,25.16333326,20.8,28.99,24.32199999,1.886,50.77,24.93333308,21.56,27.93,11.66166687,6.34,21.6,24.97333272,20.72,28.55,2.571000059,1.728,3.469,26.31666629,23.74,27.97,2.531000058,1.542,4.137,24.87666702,19.69,28.68,1.200999975,1.063,1.38,27.46333313,24.89,28.85,1.418666681,1.139,1.607,25.80333328,20.93,29.26,3.813333273,2.32,5.548,26.59666697,23.1,29.04,3.080000003,2.749,3.597,25.68000031,22.67,28.29,6.971666654,4.456,10.88,25.45666695,22.6,28.01,3.167333285,2.994,3.395,25.72000058,21.28,29.03,1.815000017,1.108,3.007,27.29666646,23.8,29.39,1.535000006,1.421,1.723,26.03666687,21.36,29.5
zh423923,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/INHS/82121g45.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/INHS/pw141j96.png,Lepomis,Centrarchidae,Lepomis auritus,1985,30.06109,-99.4692,Texas,Kerr,Rio Grande River Basin,21,704,0.0747889571337939,66.8801845689515,2.74541227235381,0.374354123655164,0.587225083887243,0.637496820089937,0.673767962490705,0.352950260497077,0.515647621474996,0.12515465260142,0.217499681334712,0.755279221606923,0.360932634316746,1.22197214998333,0.312796208530806,0.536764705882353,0.294117647058824,0.336917562724014,0.379928315412186,0.618279569892473,16.00539741,0.006192,25.08,28.40999985,26.82,30,17.05666669,10.31,29.17,26.45000013,20.17,30.66,6.042666594,4.033,7.185,26.23333359,23.32,28.26,47.51199992,2.626,94,25.16333326,20.8,28.99,24.32199999,1.886,50.77,24.93333308,21.56,27.93,11.66166687,6.34,21.6,24.97333272,20.72,28.55,2.571000059,1.728,3.469,26.31666629,23.74,27.97,2.531000058,1.542,4.137,24.87666702,19.69,28.68,1.200999975,1.063,1.38,27.46333313,24.89,28.85,1.418666681,1.139,1.607,25.80333328,20.93,29.26,3.813333273,2.32,5.548,26.59666697,23.1,29.04,3.080000003,2.749,3.597,25.68000031,22.67,28.29,6.971666654,4.456,10.88,25.45666695,22.6,28.01,3.167333285,2.994,3.395,25.72000058,21.28,29.03,1.815000017,1.108,3.007,27.29666646,23.8,29.39,1.535000006,1.421,1.723,26.03666687,21.36,29.5
3096wn61,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/INHS/9p60384p.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/INHS/d557vh1m.png,Lepomis,Centrarchidae,Lepomis auritus,1987,30.43056,-84.52949,Florida,Leon,Florida Ochlockonee Bay Basin,9,31,0.0471151907834192,64.2687200622668,2.85843768651005,0.374155068316632,0.587328526901607,0.637045624687175,0.651130811166972,0.357544951814155,0.473953011058318,0.113799869195553,0.217725628684533,0.757497223250648,0.359353322561446,1.1812471492394,0.370967741935484,0.607692307692308,0.346153846153846,0.361739130434783,0.347826086956522,0.575652173913043,32.18000094,29.28,34.18,26.57000033,23.74,28.45,32.1566658,27.98,35.07,24.73000018,18.84,28.26,36.07999929,33.34,37.55,26.28666687,24.18,28,49.89333344,47.34,52.82,24.67333349,20.31,27.52,31.34000015,26.09,34.46,25.59333356,22.36,28.25,21.95666695,13.82,28.44,25.27333387,21.02,28.52,47.44333267,37.01,57.97,26.54333305,24.65,27.74,112.3733342,75.32,145.6,24.40000025,19.94,27.45,34.84666697,22.01,57.93,26.76999982,24.76,27.99,48.70999908,42.96,52.71,25.1200002,20.01,28.35,81.70666758,73.86,89.91,26.73999977,24.4,28.58,59.13999939,56.29,61.17,25.98000018,23.2,28.03,34.6066672,30.85,40.84,26.24999936,23.64,28.22,39.89666621,36.48,44.39,25.0733331,21.4,28.24,28.47666677,25.15,34.77,27.61333275,24.38,29.83,41.75666682,31.73,48.52,25.29000028,20.07,28.54
4939m31b,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/INHS/x345zs8c.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/INHS/ff246t1c.png,Lepomis,Centrarchidae,Lepomis auritus,1987,30.927,-84.33829,Georgia,Grady,Florida Ochlockonee Bay Basin,9,7,0.074055780697987,65.409882833804,2.73159877138693,0.365840526953883,0.567272878207202,0.644911013743646,0.697037805765074,0.403762223516722,0.509853155648093,0.134773465876505,0.236397324656544,0.73174258857556,0.374409244002505,1.42200344456277,0.596774193548387,0.562043795620438,0.335766423357664,0.34622467771639,0.395948434622468,0.620626151012891,2.463999987,2.317,2.571,30.48333295,27.17,32.76,2.006999969,1.632,2.376,28.06666692,21.29,32.27,2.506333351,1.779,3.021,30.19666672,27.85,32.36,3.781333208,2.347,5.877,27.95666695,22.83,31.52,2.379333337,1.628,2.996,29.30333328,25.51,32.53,1.07616667,0.6115,1.527,28.69333394,23.76,32.63,3.355333328,2.372,3.9,30.37333361,28.28,31.91,9.286666393,6.975,12.73,27.66666667,22.56,31.4,3.013000051,1.512,5.385,30.54333305,28.33,32.03,2.592000008,1.75,3.131,28.43333308,22.42,32.51,5.236999989,4.783,6.141,30.54999987,27.82,32.77,3.458333333,3.096,3.757,29.53666687,26.1,32.18,2.815333327,1.9,3.664,29.95999972,26.95,32.05,2.536666632,2.331,2.817,28.38000043,24.15,32.06,2.698666612,1.998,3.182,31.60000102,27.79,34.27,3.424000025,2.832,3.976,28.57666651,22.57,32.52
0g47662x,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/INHS/x1251w5h.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/INHS/1f97503b.png,Lepomis,Centrarchidae,Lepomis auritus,1999,32.0543,-85.22788,Alabama,Barbour,Apalachicola River Basin,1,524,0.0603373618539445,71.9110846911842,2.58971847044977,0.388318535661687,0.626665963811216,0.619657932752621,0.678831867507532,0.332627493340068,0.454045775410287,0.109627768179676,0.22544437362793,0.749840662842575,0.328778067245274,1.30275054512151,0.256410256410256,0.547770700636943,0.337579617834395,0.344481605351171,0.38628762541806,0.632107023411371,3.971999884,3.787,4.113,0,0,0,3.025666634,2.763,3.372,0,0,0,4.456333478,4.289,4.734,0,0,0,4.277999957,3.557,4.754,0,0,0,5.761666775,4.618,6.478,0,0,0,2.17626665,0.8078,3.54,0,0,0,4.903666655,4.651,5.321,0,0,0,8.76033322,5.452,12.61,0,0,0,5.734000047,4.427,7.465,0,0,0,5.288666566,4.298,6.187,0,0,0,10.94666672,10.26,12.08,0,0,0,6.491000017,5.61,7.545,0,0,0,5.991999785,4.365,8.957,0,0,0,4.370666663,3.093,6.07,0,0,0,3.207000017,2.631,3.584,0,0,0,4.345333258,3.433,5.159,0,0,0
xq842s9z,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/INHS/m583967r.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/INHS/4p572017.png,Lepomis,Centrarchidae,Lepomis auritus,2000,32.49654,-85.17443,Alabama,Lee,Apalachicola River Basin,1,375,0.0780641357464576,68.3581883724949,2.6818269314326,0.408830226555169,0.66700164295888,0.612937360606131,0.757339430116929,0.376941849526102,0.484040181957478,0.149453409682457,0.259111386873129,0.702163532871132,0.37784115964629,1.32372471641868,0.363636363636364,0.610062893081761,0.389937106918239,0.407079646017699,0.352212389380531,0.594690265486726,1.527333339,1.307,1.726,0,0,0,1.049866676,0.8816,1.195,0,0,0,2.109333356,1.731,2.528,0,0,0,1.702000022,1.462,1.865,0,0,0,2.325333357,1.78,2.861,0,0,0,0.712133328,0.2661,1.15,0,0,0,2.888000011,2.691,3.058,0,0,0,3.538666646,2.557,4.512,0,0,0,2.981000026,2.556,3.598,0,0,0,2.112999996,1.507,2.63,0,0,0,4.658333302,4.269,5.013,0,0,0,2.43933328,2.218,2.735,0,0,0,2.144000014,1.707,2.947,0,0,0,1.845000029,1.37,2.42,0,0,0,1.141533335,0.8816,1.3,0,0,0,1.160666664,1.043,1.237,0,0,0
b245zj1n,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/INHS/ft60bm5j.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/INHS/3v558p7m.png,Lepomis,Centrarchidae,Lepomis auritus,1999,32.6963,-85.25595,Alabama,Lee,Apalachicola River Basin,1,327,0.053106709353112,73.4052464334708,2.53248962580774,0.37188632674996,0.572390906003595,0.649706909822262,0.669666934464498,0.360222508634905,0.469678922880611,0.126244393392408,0.223871275853202,0.747866230728727,0.351940989716042,1.48742920301818,0.360215053763441,0.603896103896104,0.344155844155844,0.36426116838488,0.367697594501718,0.628865979381443,1.297533353,0.9856,1.651,0,0,0,0.75183334,0.6396,0.8554,0,0,0,1.671333313,1.443,1.906,0,0,0,1.307666699,1.202,1.47,0,0,0,1.60800004,1.141,2.141,0,0,0,0.481133347,0.2345,0.7092,0,0,0,1.646999995,1.564,1.721,0,0,0,2.70266672,1.623,3.532,0,0,0,2.09133331,1.849,2.573,0,0,0,1.29823337,0.9337,1.641,0,0,0,3.497333368,3.28,3.703,0,0,0,1.835333308,1.665,2.126,0,0,0,1.576000015,1.144,2.181,0,0,0,1.216999988,0.912,1.642,0,0,0,0.548266669,0.3574,0.7365,0,0,0,0.712099989,0.3933,1.114,0,0,0
