ID,SEG_Image,BB_Image,Genus,Family,ScientificName,YearCollected,Lat,Lon,State,Locality,BasinName,BasinID,SubbasinID,Score,Angle_head,Ratio_bodyLenByBodyWid,Ratio_headLenByBodyLen,Ratio_headLenByTrunkLen,Ratio_trunkLenByBodyLen,Ratio_headWidthByBodyWid,Ratio_snout2EyeLenByHeadLen,Ratio_dorsFinLenByBodyLen,Ratio_eyeAreaByHeadArea,Ratio_headAreaByBodyArea,Ratio_trunkAreaByBodyArea,Ratio_eyeDiamByHeadWid,Ratio_bodyWidthByhHeadWidth,Loc_eyeOnHeadHoriz,Loc_eyeOnHeadVertical,Loc_snoutOnHeadVertical,Loc_dorsFinOnBodyHoriz,Loc_pelvFinOnBodyHoriz,Loc_analFinOnBodyHoriz,Y1950_spAvgFlow,Y1950_spMinFlow,Y1950_spMaxFlow,Y1950_spAvgWtrTemp,Y1950_spMinWtrTemp,Y1950_spMaxWtrTemp,Y1950_faAvgFlow,Y1950_faMinFlow,Y1950_faMaxFlow,Y1950_faAvgWtrTemp,Y1950_faMinWtrTemp,Y1950_faMaxWtrTemp,Y1960_spAvgFlow,Y1960_spMinFlow,Y1960_spMaxFlow,Y1960_spAvgWtrTemp,Y1960_spMinWtrTemp,Y1960_spMaxWtrTemp,Y1960_faAvgFlow,Y1960_faMinFlow,Y1960_faMaxFlow,Y1960_faAvgWtrTemp,Y1960_faMinWtrTemp,Y1960_faMaxWtrTemp,Y1970_spAvgFlow,Y1970_spMinFlow,Y1970_spMaxFlow,Y1970_spAvgWtrTemp,Y1970_spMinWtrTemp,Y1970_spMaxWtrTemp,Y1970_faAvgFlow,Y1970_faMinFlow,Y1970_faMaxFlow,Y1970_faAvgWtrTemp,Y1970_faMinWtrTemp,Y1970_faMaxWtrTemp,Y1980_spAvgFlow,Y1980_spMinFlow,Y1980_spMaxFlow,Y1980_spAvgWtrTemp,Y1980_spMinWtrTemp,Y1980_spMaxWtrTemp,Y1980_faAvgFlow,Y1980_faMinFlow,Y1980_faMaxFlow,Y1980_faAvgWtrTemp,Y1980_faMinWtrTemp,Y1980_faMaxWtrTemp,Y1990_spAvgFlow,Y1990_spMinFlow,Y1990_spMaxFlow,Y1990_spAvgWtrTemp,Y1990_spMinWtrTemp,Y1990_spMaxWtrTemp,Y1990_faAvgFlow,Y1990_faMinFlow,Y1990_faMaxFlow,Y1990_faAvgWtrTemp,Y1990_faMinWtrTemp,Y1990_faMaxWtrTemp,Y2000_spAvgFlow,Y2000_spMinFlow,Y2000_spMaxFlow,Y2000_spAvgWtrTemp,Y2000_spMinWtrTemp,Y2000_spMaxWtrTemp,Y2000_faAvgFlow,Y2000_faMinFlow,Y2000_faMaxFlow,Y2000_faAvgWtrTemp,Y2000_faMinWtrTemp,Y2000_faMaxWtrTemp,Y2010_spAvgFlow,Y2010_spMinFlow,Y2010_spMaxFlow,Y2010_spAvgWtrTemp,Y2010_spMinWtrTemp,Y2010_spMaxWtrTemp,Y2010_faAvgFlow,Y2010_faMinFlow,Y2010_faMaxFlow,Y2010_faAvgWtrTemp,Y2010_faMinWtrTemp,Y2010_faMaxWtrTemp,Y2020_spAvgFlow,Y2020_spMinFlow,Y2020_spMaxFlow,Y2020_spAvgWtrTemp,Y2020_spMinWtrTemp,Y2020_spMaxWtrTemp,Y2020_faAvgFlow,Y2020_faMinFlow,Y2020_faMaxFlow,Y2020_faAvgWtrTemp,Y2020_faMinWtrTemp,Y2020_faMaxWtrTemp
kk37wd6p,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/INHS/qc02j079.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/INHS/0p447j67.png,Lepomis,Centrarchidae,Lepomis cyanellus,1999,36.43992,-88.45038,Tennessee,Henry,Obion Hatchie Basin,34,23,0.0386008914657638,59.4046999932642,2.91139295925357,0.374287364738607,0.588774272603315,0.635706045856359,0.672971825604829,0.365957043385557,0.505555544195942,0.0851202079272255,0.243400621118012,0.735881067402807,0.313525632453516,1.45303878864656,0.407821229050279,0.625,0.367647058823529,0.365482233502538,0.368866328257191,0.612521150592217,4.255999962,2.931,5.62,18.23333327,15.56,20.24,1.640666644,1.132,2.201,18.77333323,13.32,22.31,4.007666667,3.01,5.034,22.52666601,19.63,25.74,2.397666732,1.945,2.897,19.36000061,14.27,23.69,3.488666693,2.37,5.142,21.02333323,15.17,26.27,1.410333355,1.013,1.845,21.11333307,14.8,26.22,3.314333439,2.63,3.709,22.58333333,20.25,24.41,3.376000007,2.188,4.624,18.47333336,11.58,23.28,4.881999969,3.468,6.36,22.02666664,18.97,24.37,3.029666662,2.194,3.872,19.72999954,12.98,25.23,4.481000026,3.936,5.116,22.33333333,19.18,24.01,3.200333357,2.887,3.655,21.14666621,17.14,24.74,4.010999997,3.219,5.161,21.90666707,18.24,24.87,4.550333341,3.322,6.318,18.85999966,15.95,22.07,1.399166663,0.9585,1.92,24.1433328,18.49,28.23,0.698766669,0.6206,0.7702,20.10333347,13.44,24.68
r1493s77,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/INHS/z858nq7z.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/INHS/j4015b79.png,Lepomis,Centrarchidae,Lepomis cyanellus,1964,37.21938,-89.42828,Illinois,Alexander,Kaskaskia Basin,31,262,0.0419068962212741,54.6855810739843,3.02549829737806,0.377521459214072,0.596721983953469,0.632658875265286,0.704593525937961,0.375090641744868,0.474361017765097,0.0922880223164991,0.249916486325544,0.727019215407184,0.327163111112182,1.23733677448207,0.393939393939394,0.554744525547445,0.335766423357664,0.383050847457627,0.374576271186441,0.630508474576271,5.254666527,1.093,11.44,25.63333384,19.86,30.04,0.732900004,0.6432,0.9024,22.84666697,16.17,28.26,2.660666704,1.951,3.505,26.06999969,22.97,29.81,2.380333304,1.352,3.932,21.87333298,16.43,27.06,4.141666651,1.563,7.363,20.01333332,14.96,27.86,0.72056665,0.5936,0.9019,23.90999985,16.73,29.78,5.336000125,4.629,6.382,19.85333316,17.72,22.4,5.125000079,3.563,7.806,16.64000003,10.58,19.81,9.048666636,6.116,10.67,19.63333321,18.02,20.49,4.891333342,2.963,7.054,17.95666663,11.72,21.14,6.065333366,4.295,7.86,19.15666612,15.04,22.8,2.893333356,2.201,3.992,19.02666664,18.33,19.59,7.297999859,5.766,8.174,19.21666654,16.27,21.92,8.562000036,3.472,15.75,17.24333318,14.33,22.13,1.958766659,0.6193,3.639,27.67999967,20.55,33,0.55613333,0.411,0.7944,22.64666684,15.35,27.72
3984hw8j,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/INHS/wh63m10r.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/INHS/8x16z189.png,Lepomis,Centrarchidae,Lepomis cyanellus,1963,37.60619,-88.7085,Illinois,Saline,Ohio River Basin,20,874,0.0419282103471398,58.8169089732451,2.99858393704791,0.354154090559721,0.538978397345269,0.657084017289194,0.71518805062697,0.364513957011019,0.472743165939338,0.0858746035618444,0.248975005314787,0.729644364806997,0.305018933586484,1.40646928498685,0.347150259067358,0.63768115942029,0.391304347826087,0.391752577319588,0.381443298969072,0.609965635738832,7.66566666,3.056,11.99,27.34000015,21.19,32.11,1.048066656,0.6358,1.561,24.44333331,16.61,30.34,6.575333357,3.588,10.62,27.43000031,24.62,31.07,2.390000025,1.598,2.947,23.56666629,17.97,28.68,6.205000003,2.76,9.802,25.19000053,17.69,32.34,1.637666623,1.197,2.12,25.56666692,18.1,31.48,9.603666623,8.215,11.88,27.8700002,25.95,29.84,8.930333217,3.239,16.31,22.50999991,13.96,28.33,12.04633347,7.239,15.39,27.38333321,22.94,31.06,4.234333277,3.128,6.298,23.72999954,15.67,30.39,12.14199988,6.106,20.25,27.763333,23.8,30.48,5.062666734,3.06,7.933,26.01999982,20.65,31.41,11.19233322,8.287,14.32,26.36000061,21.6,30.44,12.6266667,4.323,24.75,24.29666646,19.97,29.3,3.429333448,1.621,5.905,29.58333333,22.44,34.84,0.982333342,0.7201,1.266,24.48000081,16.7,29.79
c187k95b,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/INHS/m104qh0q.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/INHS/3g71bh1q.png,Lepomis,Centrarchidae,Lepomis cyanellus,1968,38.05346,-89.22357,Illinois,Perry,Kaskaskia Basin,31,201,0.0421813305427746,55.9352245494071,2.83959829899973,0.391439186258252,0.637282351058969,0.614231957950506,0.712150473038675,0.403566408573005,0.507709648953743,0.0959084406294707,0.264832916571948,0.709767371372282,0.327104059333689,1.35104929583535,0.362445414847162,0.579710144927536,0.347826086956522,0.419182948490231,0.399644760213144,0.600355239786856,1.712733326,0.1211,4.316,25.63333321,19.99,29.97,0.141993333,0.04548,0.2602,22.79666646,16.01,28.38,0.470766673,0.3559,0.5756,26.12666702,22.92,29.94,0.85816666,0.1702,1.706,21.93000031,16.6,27.07,0.87683331,0.1886,2.024,23.38666662,16.28,31.05,0.125066665,0.082,0.1818,23.84999975,16.55,29.84,0.735233327,0.6378,0.9058,24.99666659,20.09,28.34,0.871866653,0.4011,1.805,20.30999947,11.48,26.57,1.790433307,0.4343,3.017,20.93000031,18.85,24.4,1.222033302,0.6105,2.103,20.92333349,11.67,28.29,0.931033333,0.5621,1.533,24.56333351,20.65,27.61,0.43386667,0.324,0.5546,23.42000008,19.37,26.63,1.539666653,1.153,2.306,22.68000031,19.29,25.79,1.441233307,0.3799,3.113,18.80666669,17.59,20.03,0.536133322,0.0418,1.3,27.81666629,20.3,33.21,0.11480333,0.03748,0.2539,22.67333317,15.44,27.69
sb82h03n,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/INHS/48898c0j.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/INHS/rf39ms44.png,Lepomis,Centrarchidae,Lepomis cyanellus,1968,38.30221,-89.29264,Illinois,Washington,Kaskaskia Basin,31,166,0.0346165603086845,63.440942105276,2.76021920963772,0.362917927441193,0.569282248317371,0.637500868003299,0.73215514190844,0.374437991617902,0.448957021327859,0.0965691818818334,0.255020190643628,0.720352718182567,0.310744247410081,1.37355040505724,0.406593406593407,0.536423841059603,0.357615894039735,0.399653979238754,0.403114186851211,0.633217993079585,1.297033355,0.1444,3.509,25.68000031,20.08,30.04,0.177300001,0.107,0.317,23.00666618,16.38,28.47,0.527200003,0.319,0.7,25.98000018,22.82,29.94,0.850233316,0.2335,1.716,21.87666702,16.77,27,0.596233343,0.1808,1.263,22.78333346,14.92,31.02,0.108763335,0.09487,0.1333,24.01666641,16.63,30.15,0.906066656,0.6268,1.459,23.69333331,17.09,27.64,0.69266664,0.3753,1.287,20.8633337,12.3,26.62,1.3116,0.4958,1.77,19.08333333,16.28,23.55,0.624733329,0.2735,1.112,22.02666632,14.71,28.4,0.855599999,0.5805,1.076,24.99666659,20.41,27.84,0.532100002,0.3696,0.8391,24.02333323,19.54,28.3,1.920333346,1.377,2.437,19.09000015,17.22,22.79,1.994433284,0.4173,4.495,17.93000031,16.99,19.12,0.61710001,0.1248,1.251,24.61666616,19.19,32.69,0.218399999,0.1045,0.3425,22.85666656,15.91,27.7
mj15k995,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/INHS/vn03t867.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/INHS/0g20fr53.png,Lepomis,Centrarchidae,Lepomis cyanellus,1968,38.31259,-88.60977,Illinois,Wayne,Ohio River Basin,20,710,0.0435460782568622,60.1578589432884,2.82169189266956,0.381098089231652,0.60517518748758,0.629731848084855,0.699304963103683,0.378070421889492,0.523147607523383,0.0931298595799002,0.250650842823276,0.726006079381008,0.322815055229322,1.24472459169585,0.45,0.62589928057554,0.352517985611511,0.4,0.382300884955752,0.619469026548673,15.7483333,8.135,24.16,24.19333331,18.5,28.33,2.743666689,1.581,4.215,21.67666658,14.8,26.83,14.14500014,7.415,24.5,24.69333331,21.72,28.25,5.847999891,4.724,7.502,21.05999947,15.99,25.98,7.70299991,4.766,11.79,22.90999953,15.72,29.71,2.736666679,1.971,3.582,23.18000031,16.28,28.68,13.40666676,8.981,22.18,25.37666702,23.37,27.26,7.813999971,5.895,10.41,20.30000019,12.31,25.67,17.83033339,8.811,24.14,24.29333369,19.92,27.87,6.364000003,5.304,7.021,20.8233331,13.32,27.01,17.27333291,10.86,20.9,25.24666659,21.48,27.67,6.599666754,4.714,8.87,23.42000008,18.48,28.41,17.02333323,10.9,20.51,23.80666669,19.34,27.32,20.28033336,6.541,41.27,21.90000025,18.02,26.26,3.380666693,1.939,4.256,26.9399999,20.01,31.81,1.265066663,0.9462,1.61,21.86999957,14.73,26.75
cd01v05x,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/INHS/0v47sh58.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/INHS/kp184909.png,Lepomis,Centrarchidae,Lepomis cyanellus,1994,38.5517,-88.10753,Illinois,Edwards,Ohio River Basin,20,684,0.0397958581024319,62.1429940859754,2.840357212561,0.375589301907203,0.593322094004087,0.633027668618414,0.708495289102714,0.377388701159702,0.485577763523997,0.0683786354307454,0.251216659750255,0.731605487858553,0.277406467037079,1.41266135047529,0.377450980392157,0.624161073825503,0.375838926174497,0.39202657807309,0.377076411960133,0.646179401993355,38.61333338,29.98,45.29,23.84333356,18.76,27.73,8.611999989,4.668,13.78,21.55666701,15.03,26.45,39.24333254,18.69,64.78,24.35333316,21.7,27.81,13.20333322,12.23,14.34,20.83666674,16.1,25.56,18.52666664,11.02,26.88,22.48999977,15.58,28.99,6.362000148,4.609,8.295,22.73000018,16.11,28.02,32.93666808,14.95,65.16,24.91666667,23.04,26.89,17.95000013,12.77,27.31,20.17666658,12.38,25.4,40.33666674,21.63,53.65,24.03000005,19.65,27.52,17.05000019,11.3,23.42,20.95666663,13.7,26.69,36.69666545,24.21,44.53,24.82000033,21.41,26.95,13.59966691,9.609,18.7,23.36666679,18.61,28.13,38.06333351,23.26,49.91,23.54999987,19.17,26.9,49.5966657,12.91,103.7,21.6766669,18.03,25.78,12.89499998,4.735,19.48,26.52333323,19.89,31.29,2.830666701,2.549,3.367,21.65333303,14.91,26.23
0s455281,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/INHS/hr85nd1g.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/INHS/1159d26k.png,Lepomis,Centrarchidae,Lepomis cyanellus,1965,38.57462,-89.36932,Illinois,Clinton,Kaskaskia Basin,31,118,0.0373323159428722,65.8685050572498,2.60183804279279,0.36961530094327,0.583259652713521,0.633706273395896,0.738092541936234,0.39172996577764,0.469460194219828,0.0906264133876074,0.24799506477483,0.729530031966799,0.294148782598585,1.38206276628967,0.423529411764706,0.58,0.373333333333333,0.399260628465804,0.388170055452865,0.66913123844732,38.49333318,18.2,60.16,24.77999942,19.58,28.63,15.46999995,10.36,25.61,22.11666648,15.28,27.35,44.24666659,24.94,69.6,25.03333346,21.79,29.09,46.00333277,16.3,67.63,20.76333364,15.73,25.87,31.01000086,16.43,43.74,22.41666635,14.78,30.21,7.174666564,6.27,8.702,22.99333286,15.45,29.06,79.50666682,48.93,127.5,22.42000008,17.35,26.84,77.65333303,60.18,93.89,16.65333398,10.22,21.87,76.59999975,55.94,94.68,18.52666664,16.3,20.19,54.41333262,30.55,91,19.46666654,11.25,25.75,62.09333293,44.78,79.36,22.23999977,19.59,27.05,38.28333282,29.18,52.3,22.95333354,18.3,27.04,88.51333364,79.24,97.15,19.61333338,17.31,23.79,110.5200017,32.11,217.1,18.513333,18.14,19.16,34.48333263,14.62,49.67,26.513333,19.9,32.46,14.25833321,8.975,20.98,21.56000042,14.45,26.36
bw253r9v,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/INHS/fz94tz8k.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/INHS/2304r746.png,Lepomis,Centrarchidae,Lepomis cyanellus,1999,38.61647,-79.80645,West Virginia,Pocahantas,Ohio River Basin,20,774,0.0365797491723275,59.9395255198226,2.93915149230884,0.377228188078679,0.598048238344329,0.630765486615292,0.719966859489663,0.368143816039475,0.467691252979118,0.0856409644306517,0.261632627568547,0.715960901879958,0.305966922865425,1.38311856679756,0.47682119205298,0.611510791366906,0.37410071942446,0.389473684210526,0.396491228070175,0.624561403508772,20.62333361,20.29,21.19,19.90333303,14.26,24.32,9.022666454,5.704,12.69,17.54699993,8.911,23,22.14666621,18.16,26.9,20.92333349,19.08,23.94,10.93800004,9.394,12.53,16.39566676,9.907,21.95,23.17000008,14.25,31.14,18.93333308,12.57,24.89,6.644333363,4.468,9.144,17.83000024,11.22,23.18,16.72000027,10.5,24.54,21.02333323,19.28,23.22,13.81999969,10.18,19.3,16.33833377,8.965,22.01,21.5733331,19.83,23.73,19.99666659,15.1,24.16,14.03666655,11.69,18.18,16.97366651,8.931,22.67,11.57333342,9.54,13.83,21.3100001,17.67,24.03,8.144333363,6.736,10.25,19.71666622,14.19,24.74,18.65333366,13.68,21.27,20.15333335,15.3,23.84,19.71333377,18.4,21.79,17.90333366,13.34,23.44,14.09333324,8.14,21.38,22.38666693,15.8,27.01,5.535666784,4.425,6.414,17.8033336,10.2,23.04
q030hx72,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/INHS/8p89sb7h.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/INHS/tj87t20w.png,Lepomis,Centrarchidae,Lepomis cyanellus,1963,39.12901,-89.90385,Illinois,Macoupin,Upper Mississippi River Basin,27,1020,0.0426512548651801,57.4238739776002,3.14251863533688,0.368736922427424,0.577859506734689,0.638108256643636,0.716476293683429,0.355915208188931,0.416271790275005,0.109694780822888,0.236390116512656,0.737679121467792,0.352039253447681,1.40408217026587,0.348958333333333,0.592,0.368,0.389492753623188,0.380434782608696,0.634057971014493,1.965133299,0.3439,4.626,23.24333318,18.02,27.65,0.538706668,0.02702,0.9743,22.00000032,14.19,27.62,7.474666754,5.412,11.41,23.38999939,20.3,27.22,9.855666478,5.007,12.69,19.90999953,15.7,24.46,4.227333307,3.134,5.66,21.51333332,14.47,28.43,2.509333293,2.418,2.675,21.65000025,14.92,27.08,8.43599987,4.776,14.74,23.50666682,21.71,25.2,11.15799999,4.174,17.94,18.83666706,11.14,24.17,8.907333215,3.949,13.28,23.06333351,18.42,26.87,6.234666586,2.476,8.921,19.87666702,12.91,25.79,6.320333163,5.278,8.341,23.72666677,20.27,26.13,4.252000014,3.725,4.959,22.20999972,17.55,27.1,7.12833341,4.365,8.791,22.51666705,17.98,26.29,8.705666622,2.707,19.99,21.06333288,17.47,24.74,1.345450049,0.03835,2.604,25.72666613,18.74,30.48,1.081866642,0.2583,2.432,20.50333341,14.08,25.32
