ID,SEG_Image,BB_Image,Genus,Family,ScientificName,YearCollected,Lat,Lon,State,Locality,BasinName,BasinID,SubbasinID,Score,Angle_head,Ratio_bodyLenByBodyWid,Ratio_headLenByBodyLen,Ratio_headLenByTrunkLen,Ratio_trunkLenByBodyLen,Ratio_headWidthByBodyWid,Ratio_snout2EyeLenByHeadLen,Ratio_dorsFinLenByBodyLen,Ratio_eyeAreaByHeadArea,Ratio_headAreaByBodyArea,Ratio_trunkAreaByBodyArea,Ratio_eyeDiamByHeadWid,Ratio_bodyWidthByhHeadWidth,Loc_eyeOnHeadHoriz,Loc_eyeOnHeadVertical,Loc_snoutOnHeadVertical,Loc_dorsFinOnBodyHoriz,Loc_pelvFinOnBodyHoriz,Loc_analFinOnBodyHoriz,Y1950_spAvgFlow,Y1950_spMinFlow,Y1950_spMaxFlow,Y1950_spAvgWtrTemp,Y1950_spMinWtrTemp,Y1950_spMaxWtrTemp,Y1950_faAvgFlow,Y1950_faMinFlow,Y1950_faMaxFlow,Y1950_faAvgWtrTemp,Y1950_faMinWtrTemp,Y1950_faMaxWtrTemp,Y1960_spAvgFlow,Y1960_spMinFlow,Y1960_spMaxFlow,Y1960_spAvgWtrTemp,Y1960_spMinWtrTemp,Y1960_spMaxWtrTemp,Y1960_faAvgFlow,Y1960_faMinFlow,Y1960_faMaxFlow,Y1960_faAvgWtrTemp,Y1960_faMinWtrTemp,Y1960_faMaxWtrTemp,Y1970_spAvgFlow,Y1970_spMinFlow,Y1970_spMaxFlow,Y1970_spAvgWtrTemp,Y1970_spMinWtrTemp,Y1970_spMaxWtrTemp,Y1970_faAvgFlow,Y1970_faMinFlow,Y1970_faMaxFlow,Y1970_faAvgWtrTemp,Y1970_faMinWtrTemp,Y1970_faMaxWtrTemp,Y1980_spAvgFlow,Y1980_spMinFlow,Y1980_spMaxFlow,Y1980_spAvgWtrTemp,Y1980_spMinWtrTemp,Y1980_spMaxWtrTemp,Y1980_faAvgFlow,Y1980_faMinFlow,Y1980_faMaxFlow,Y1980_faAvgWtrTemp,Y1980_faMinWtrTemp,Y1980_faMaxWtrTemp,Y1990_spAvgFlow,Y1990_spMinFlow,Y1990_spMaxFlow,Y1990_spAvgWtrTemp,Y1990_spMinWtrTemp,Y1990_spMaxWtrTemp,Y1990_faAvgFlow,Y1990_faMinFlow,Y1990_faMaxFlow,Y1990_faAvgWtrTemp,Y1990_faMinWtrTemp,Y1990_faMaxWtrTemp,Y2000_spAvgFlow,Y2000_spMinFlow,Y2000_spMaxFlow,Y2000_spAvgWtrTemp,Y2000_spMinWtrTemp,Y2000_spMaxWtrTemp,Y2000_faAvgFlow,Y2000_faMinFlow,Y2000_faMaxFlow,Y2000_faAvgWtrTemp,Y2000_faMinWtrTemp,Y2000_faMaxWtrTemp,Y2010_spAvgFlow,Y2010_spMinFlow,Y2010_spMaxFlow,Y2010_spAvgWtrTemp,Y2010_spMinWtrTemp,Y2010_spMaxWtrTemp,Y2010_faAvgFlow,Y2010_faMinFlow,Y2010_faMaxFlow,Y2010_faAvgWtrTemp,Y2010_faMinWtrTemp,Y2010_faMaxWtrTemp,Y2020_spAvgFlow,Y2020_spMinFlow,Y2020_spMaxFlow,Y2020_spAvgWtrTemp,Y2020_spMinWtrTemp,Y2020_spMaxWtrTemp,Y2020_faAvgFlow,Y2020_faMinFlow,Y2020_faMaxFlow,Y2020_faAvgWtrTemp,Y2020_faMinWtrTemp,Y2020_faMaxWtrTemp
kg59vm11,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/INHS/gg41kt4p.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/INHS/qd462z7m.png,Carassius,Cyprinidae,Carassius auratus,1964,39.730392,-87.380446,Indiana,Vermillion,Ohio River Basin,20,323,0.0771207770438977,58.0252966416724,2.95273915645141,0.319186047995596,0.468457726663289,0.681355071820632,0.740529650303238,0.369484466968583,0.426467405561743,0.0919630156472262,0.219519430436072,0.760292900747865,0.301680363283996,1.35038482198588,0.377358490566038,0.571428571428571,0.421052631578947,0.472897196261682,0.500934579439252,0.749532710280374,456.5,236.4,654.2,21.80666669,16.91,25.66,202.399999,145.9,290.1,19.69333299,12.95,24.38,550.3333333,333.7,785.6,22.49666659,19.82,26.04,202.8333282,174.4,235.4,18.74333382,14.41,23.28,253.0666656,133.8,335.3,20.38666725,13.27,27.03,70.87666702,52.13,91.92,20.6833334,14.14,25.82,364.2333476,169.6,636.4,22.92000008,21.58,24.41,178.200002,154.1,211.6,18.27333323,10.59,23.49,298.8000031,199.3,373.1,22.05999947,17.4,25.64,339.8999888,185.7,533.1,18.63666693,11.64,24.42,486.0999858,325.4,694.6,23.05666669,19.67,24.92,186.3333308,112.6,293.4,21.46333377,16.59,26.53,378.700002,246.5,453.1,21.89000066,17.61,25.04,441.1333262,151.2,768.3,19.90999985,16.49,23.6,100.5300001,61.99,121,25.08666674,17.86,29.89,59.34333293,42.69,85.33,19.85000006,13.28,24.25
0c09pj63,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/INHS/0k39190x.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/INHS/1830m77f.png,Carassius,Cyprinidae,Carassius auratus,2008,40.33724,-90.08504,Illinois,Fulton,Upper Mississippi River Basin,27,915,0.075805299202046,57.1970302757315,2.74973006790808,0.300398336585543,0.429216851356788,0.699875449055553,0.568635970015971,0.369573220018059,0.439259170695697,0.0627954617081626,0.163812129738381,0.8259012119413,0.270603831501813,1.71396988953517,0.42,0.555555555555556,0.512820512820513,0.448154657293497,0.442882249560633,0.76274165202109,304.6999969,177.3,474.8,22.19666672,17.18,26.11,284.8333384,139,472.7,20.0400006,13.31,24.94,562.9666646,391.1,833,22.3700002,18.85,26.41,359.9000041,330.6,411,18.80000051,14.68,23.6,283.2333374,234,315.2,20.70666663,13.37,27.6,164.600001,149.7,184.3,21.06666692,14.15,26.68,294.5333405,241.2,381.2,22.90000025,21.11,24.59,260.9666646,223,282.1,18.19666672,10.5,23.67,365.3666687,316.7,390.3,22.27333323,17.6,26.22,434.3666585,315.5,638.3,18.65666644,11.74,24.68,483.2000122,379.6,578.9,23.12333298,19.65,25.75,302.6666667,264,362.1,21.43000031,16.43,26.87,353.8666687,309.6,403.3,22.23000018,17.62,26.07,357.9666697,207.2,480.2,20.29000028,16.43,24.36,110.3166656,98.85,123.2,25.23000018,17.64,29.94,79.23333232,68.28,97.02,19.61333338,13.01,24.42
2n62bv22,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/INHS/2f11pj85.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/INHS/zf35ff0s.png,Carassius,Cyprinidae,Carassius auratus,1968,40.38845,-89.99931,Illinois,Fulton,Upper Mississippi River Basin,27,915,0.080814108040256,61.0210129869645,2.87143068584738,0.301395998563705,0.430548842359896,0.700027427577584,0.676372820740398,0.37077775960451,0.412608724338119,0.0829961256995265,0.190725627678615,0.793444884152449,0.288722528141168,1.49418499197157,0.348101265822785,0.608333333333333,0.466666666666667,0.485436893203884,0.462135922330097,0.72621359223301,304.6999969,177.3,474.8,22.19666672,17.18,26.11,284.8333384,139,472.7,20.0400006,13.31,24.94,562.9666646,391.1,833,22.3700002,18.85,26.41,359.9000041,330.6,411,18.80000051,14.68,23.6,283.2333374,234,315.2,20.70666663,13.37,27.6,164.600001,149.7,184.3,21.06666692,14.15,26.68,294.5333405,241.2,381.2,22.90000025,21.11,24.59,260.9666646,223,282.1,18.19666672,10.5,23.67,365.3666687,316.7,390.3,22.27333323,17.6,26.22,434.3666585,315.5,638.3,18.65666644,11.74,24.68,483.2000122,379.6,578.9,23.12333298,19.65,25.75,302.6666667,264,362.1,21.43000031,16.43,26.87,353.8666687,309.6,403.3,22.23000018,17.62,26.07,357.9666697,207.2,480.2,20.29000028,16.43,24.36,110.3166656,98.85,123.2,25.23000018,17.64,29.94,79.23333232,68.28,97.02,19.61333338,13.01,24.42
0748tv5q,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/INHS/ph032z7s.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/INHS/54773k6q.png,Carassius,Cyprinidae,Carassius auratus,1965,40.57261,-89.65347,Illinois,Tazewell,Upper Mississippi River Basin,27,894,0.0781983606270334,58.3504786046485,2.75897697534448,0.315521371799155,0.460860109340718,0.684635891465034,0.65132427302105,0.350523742702192,0.416478747310475,0.0773051566874379,0.198359099295989,0.786306719452555,0.284662854166561,1.40151793589191,0.323353293413174,0.617391304347826,0.565217391304348,0.511201629327902,0.456211812627291,0.74949083503055,291,167,429.9,22.00333341,17.37,25.72,262.5666631,125.4,448.9,19.94333299,13.21,24.9,500.2666728,351.4,730.2,22.27000046,18.61,26.62,325.8666687,304.8,358.6,18.92666658,14.94,23.94,257.4333344,208.3,290.5,20.86999957,13.65,27.49,147.6666718,136.6,163.1,20.44333299,13.54,26.07,264.2333272,214.7,336.3,22.61666616,20.88,24.59,224.6666616,196.4,253.9,18.27999942,10.16,23.72,332.8999939,288.5,370.8,22.23999977,17.63,26.05,399.3666585,295.3,584.6,18.61333307,11.95,24.82,438.0666504,352.8,522.1,23.14666684,19.75,25.76,270.4999949,236.3,318.9,21.47999954,16.23,27.06,313.200002,275.1,359.2,22.07666715,17.79,25.68,306.0666707,177.9,406.1,20.33333333,16.39,23.95,101.7966665,87.93,122.2,25.02000046,17.51,29.87,74.92666499,63.24,96.7,19.54333305,12.99,24.23
fx50n89m,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/INHS/cd61rc98.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/INHS/c5951094.png,Carassius,Cyprinidae,Carassius auratus,1962,40.59892,-89.65927,Illinois,Tazewell,Upper Mississippi River Basin,27,894,0.069994693229412,59.3782109616271,2.74332093131575,0.331239027315266,0.494518854963568,0.669820824808934,0.70766224186568,0.319783833832611,0.42818438133261,0.0841479627746931,0.214709092435564,0.76722357484678,0.290358478715803,1.41310351300304,0.300578034682081,0.559055118110236,0.511811023622047,0.489878542510121,0.504048582995951,0.742914979757085,291,167,429.9,22.00333341,17.37,25.72,262.5666631,125.4,448.9,19.94333299,13.21,24.9,500.2666728,351.4,730.2,22.27000046,18.61,26.62,325.8666687,304.8,358.6,18.92666658,14.94,23.94,257.4333344,208.3,290.5,20.86999957,13.65,27.49,147.6666718,136.6,163.1,20.44333299,13.54,26.07,264.2333272,214.7,336.3,22.61666616,20.88,24.59,224.6666616,196.4,253.9,18.27999942,10.16,23.72,332.8999939,288.5,370.8,22.23999977,17.63,26.05,399.3666585,295.3,584.6,18.61333307,11.95,24.82,438.0666504,352.8,522.1,23.14666684,19.75,25.76,270.4999949,236.3,318.9,21.47999954,16.23,27.06,313.200002,275.1,359.2,22.07666715,17.79,25.68,306.0666707,177.9,406.1,20.33333333,16.39,23.95,101.7966665,87.93,122.2,25.02000046,17.51,29.87,74.92666499,63.24,96.7,19.54333305,12.99,24.23
sp65vs69,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/INHS/pq45xh90.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/INHS/hr26nc8x.png,Carassius,Cyprinidae,Carassius auratus,1965,40.91175,-89.48395,Illinois,Peoria,Upper Mississippi River Basin,27,888,0.0443088757283903,58.9443263010527,2.69065396409474,0.322520033319166,0.476009782493781,0.677549170585333,0.675740984424669,0.389800753660615,0.419371704132452,0.0683955925826391,0.206828509094952,0.779025332462515,0.265433323025081,1.4519116020356,0.416149068322981,0.619402985074627,0.537313432835821,0.49721706864564,0.465677179962894,0.73469387755102,288.2333272,165.5,420.9,21.3100001,16.68,24.95,258.299998,122.3,447.4,19.35999966,12.7,24.07,486.9666646,341.1,711,21.74333318,18.41,25.84,317.7333272,298.3,347.3,18.28333314,14.37,23.24,251.5666707,201.6,285.4,20.14999994,12.86,26.92,142.9666646,133.1,156.9,20.06000042,13.31,25.45,257.3666687,207,328.6,22.06999969,20.47,23.86,215.799998,189.2,248.3,17.71500015,9.805,23.03,326.4333394,281.7,367,21.54333369,16.99,25.36,391.6333415,288.8,573.9,17.94666672,11.34,24.04,426.4333394,347.2,505.7,22.59000015,19.25,25.03,263.4999949,230,310.8,21.09000015,16.08,26.53,303.3666585,261.3,351,21.45333354,17.18,24.92,293.0333252,168.9,384.3,19.84666634,16.09,23.46,99.65000153,85.41,124,24.51000023,16.84,29.4,74.32666524,60.97,97.63,19.07333342,12.54,23.65
8f018g1z,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/INHS/z111r77v.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/INHS/sn970s74.png,Carassius,Cyprinidae,Carassius auratus,1960,41.11291,-89.32627,Illinois,Putnam,Upper Mississippi River Basin,27,830,0.0801931383041918,58.9030834873092,2.78102287426248,0.317113999879116,0.464347036086053,0.682924569847687,0.623628576454658,0.399664126022673,0.420500437615245,0.0767946577629382,0.188746711968435,0.796758548882069,0.294898242489652,1.62205453247677,0.357894736842105,0.642276422764228,0.495934959349593,0.495495495495495,0.45045045045045,0.745945945945946,286.1333313,160,379.1,21.29666646,16.72,24.89,247.1666692,126.9,440.1,19.24333382,12.34,24.12,449.2666524,318.8,657.6,21.72333336,18.38,25.76,302.6666667,284.8,320.1,18.15333335,14.13,23.24,234.5333354,180.4,265.1,20.11666711,12.89,26.92,133.3666662,126.1,144.5,20.0733331,13.27,25.38,234,186,294.4,22.23333359,20.59,24.03,200.6333313,173,243.2,17.81233279,9.907,23.14,311.5333252,267.4,365.4,21.46666654,16.81,25.49,373.5000102,287.4,538.4,17.80000019,11.05,23.91,403.4333394,344,473.6,22.69666672,19.3,25.04,241.3666687,207.8,276,21.23333295,16.15,26.97,284.6333211,258.8,326.3,21.51000023,17.11,24.88,269.6666667,148.9,379.4,19.89333312,15.95,23.71,94.80333201,78.24,123.6,24.60999997,16.77,29.56,73.44333267,58,98.39,19.20666663,12.71,23.66
pr53fv9p,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/INHS/rj551t46.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/INHS/qx694k86.png,Carassius,Cyprinidae,Carassius auratus,2000,41.31265,-89.2001,Illinois,Bureau,Upper Mississippi River Basin,27,790,0.0575895229396127,58.4114705267819,2.81175000591663,0.301550368979169,0.431313490233131,0.699144301784247,0.650264566027981,0.359609629841494,0.398270840596074,0.0819187568617515,0.183002596439169,0.802006058358061,0.28616166775508,1.55320476617038,0.341772151898734,0.586776859504132,0.421487603305785,0.5,0.466037735849057,0.754716981132076,281.6333364,154.3,366.7,21.0733331,16.47,24.79,233.6333313,123.2,418.9,19.03000005,12.17,23.88,429.0999959,303,628.8,21.54999987,18.09,25.57,286.6333313,268.9,302.5,17.90333335,13.88,23.05,223.200002,168.1,251.9,19.80666637,12.36,26.8,126.3666662,120.3,136.2,19.78666687,12.93,25.09,220.5999959,174.3,278.8,22.09666697,20.39,23.95,188.7666677,159.6,233.4,17.37933318,9.488,22.81,301.1333313,258.1,355.9,21.29000028,16.59,25.35,358.4333293,275,515.1,17.50000032,10.63,23.84,386.7333272,331.4,455.8,22.49333318,18.98,24.91,229.399999,194.1,261.4,20.93000031,15.65,26.87,273.7333323,242.7,316,21.32000033,16.68,24.85,256.799998,138.5,366.9,19.5533336,15.71,23.35,92.28000132,72.9,121.9,24.48333295,16.42,29.56,72.87999852,56.87,98.09,18.83666674,12.08,23.57
b806jr62,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/FMNH/1955114r.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/FMNH/4s839h1w.png,Cyprinella,Cyprinidae,Cyprinella lutrensis,1930,37.166745,-88.713888,Illinois,Massac*,Ohio River Basin,20,1006,0.109678526163647,62.4516392578931,3.49550698139347,0.254960529079916,0.341897801148079,0.745721464787923,0.723788156759902,0.387995328842906,0.224559920347257,0.105819583045154,0.164502234863876,0.818090207232832,0.324650608584524,1.38807191519524,0.434426229508197,0.601769911504425,0.495575221238938,0.519125683060109,0.484517304189435,0.655737704918033,8936,8025,9430,23.84333293,18.81,27.74,4361.666667,2944,6088,21.10333347,14.29,26.2,11053,8249,13820,23.96333313,21.41,27.06,4762.666667,3950,5262,20.65333303,15.73,25.16,9825.666667,6907,12350,22.1833334,15.88,28.07,2866.666667,2048,3850,22.18999958,15.8,27.39,9916.666667,6406,13760,24.263333,22.31,26,6397,5044,7090,19.66666635,12.44,24.71,11501.66667,8905,13660,23.96000036,20.32,27.04,6031,4867,6714,20.70666663,13.8,26.35,10010.33333,7338,13570,24.23333359,21,26.53,4883,3856,6888,22.5466671,17.93,27.02,9759,8246,12360,23.14000003,19.02,26.68,11029.33333,7098,13810,21.04666646,17.26,25.32,4630.333333,3080,6168,25.66666667,19.67,30.02,1989.666667,1792,2170,21.08666674,14.23,26.08
rk551d42,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/FMNH/jq36dp1g.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/FMNH/vq88p79x.png,Cyprinella,Cyprinidae,Cyprinella lutrensis,1922,39.83078,-90.565706,Illinois,Morgan,Upper Mississippi River Basin,27,979,0.119888761254803,70.7407083562328,3.05558138171308,0.239584556124876,0.3145733732765,0.761617404643746,0.648781603473345,0.36751284798039,0.206500555879971,0.129485834207765,0.133786306908315,0.848890261536086,0.341783818085453,1.43000878486533,0.539325842696629,0.6,0.573913043478261,0.543956043956044,0.498168498168498,0.675824175824176,394.8333333,228.5,630,22.64666684,17.83,26.43,384.2000122,194.1,622.4,20.60666688,14.29,25.26,885.2666626,596.7,1350,22.80999947,19.46,26.88,566.4333293,487.2,720.1,19.3766667,15.2,24.23,419.6333313,345.5,463.6,21.28666623,14.07,28.23,249.7666626,229.9,277.3,21.67666658,15.03,27.26,505.3666687,396.7,720.3,23.16333389,21.36,25.01,532.7333272,419,681.3,18.45666631,10.9,23.84,581.333313,520.8,646.6,22.77000046,18.19,26.59,628.1666667,456.6,935.3,19.34000015,12.66,25.25,760.6666667,560,932.7,23.48333295,20.15,26.08,468.7666728,407.5,570.2,21.96999995,17.22,27.18,569.1333415,504.8,663.4,22.45666695,18.05,26.28,652.6333313,320.4,972.1,20.90999985,17.36,24.48,153.8666687,143.1,172.5,25.71999995,18.29,30.46,109.5766652,90.28,139.2,20.19000022,13.96,24.95
