ID,SEG_Image,BB_Image,Genus,Family,ScientificName,YearCollected,Lat,Lon,State,Locality,BasinName,BasinID,SubbasinID,Score,Angle_head,Ratio_bodyLenByBodyWid,Ratio_headLenByBodyLen,Ratio_headLenByTrunkLen,Ratio_trunkLenByBodyLen,Ratio_headWidthByBodyWid,Ratio_snout2EyeLenByHeadLen,Ratio_dorsFinLenByBodyLen,Ratio_eyeAreaByHeadArea,Ratio_headAreaByBodyArea,Ratio_trunkAreaByBodyArea,Ratio_eyeDiamByHeadWid,Ratio_bodyWidthByhHeadWidth,Loc_eyeOnHeadHoriz,Loc_eyeOnHeadVertical,Loc_snoutOnHeadVertical,Loc_dorsFinOnBodyHoriz,Loc_pelvFinOnBodyHoriz,Loc_analFinOnBodyHoriz,Y1950_spAvgFlow,Y1950_spMinFlow,Y1950_spMaxFlow,Y1950_spAvgWtrTemp,Y1950_spMinWtrTemp,Y1950_spMaxWtrTemp,Y1950_faAvgFlow,Y1950_faMinFlow,Y1950_faMaxFlow,Y1950_faAvgWtrTemp,Y1950_faMinWtrTemp,Y1950_faMaxWtrTemp,Y1960_spAvgFlow,Y1960_spMinFlow,Y1960_spMaxFlow,Y1960_spAvgWtrTemp,Y1960_spMinWtrTemp,Y1960_spMaxWtrTemp,Y1960_faAvgFlow,Y1960_faMinFlow,Y1960_faMaxFlow,Y1960_faAvgWtrTemp,Y1960_faMinWtrTemp,Y1960_faMaxWtrTemp,Y1970_spAvgFlow,Y1970_spMinFlow,Y1970_spMaxFlow,Y1970_spAvgWtrTemp,Y1970_spMinWtrTemp,Y1970_spMaxWtrTemp,Y1970_faAvgFlow,Y1970_faMinFlow,Y1970_faMaxFlow,Y1970_faAvgWtrTemp,Y1970_faMinWtrTemp,Y1970_faMaxWtrTemp,Y1980_spAvgFlow,Y1980_spMinFlow,Y1980_spMaxFlow,Y1980_spAvgWtrTemp,Y1980_spMinWtrTemp,Y1980_spMaxWtrTemp,Y1980_faAvgFlow,Y1980_faMinFlow,Y1980_faMaxFlow,Y1980_faAvgWtrTemp,Y1980_faMinWtrTemp,Y1980_faMaxWtrTemp,Y1990_spAvgFlow,Y1990_spMinFlow,Y1990_spMaxFlow,Y1990_spAvgWtrTemp,Y1990_spMinWtrTemp,Y1990_spMaxWtrTemp,Y1990_faAvgFlow,Y1990_faMinFlow,Y1990_faMaxFlow,Y1990_faAvgWtrTemp,Y1990_faMinWtrTemp,Y1990_faMaxWtrTemp,Y2000_spAvgFlow,Y2000_spMinFlow,Y2000_spMaxFlow,Y2000_spAvgWtrTemp,Y2000_spMinWtrTemp,Y2000_spMaxWtrTemp,Y2000_faAvgFlow,Y2000_faMinFlow,Y2000_faMaxFlow,Y2000_faAvgWtrTemp,Y2000_faMinWtrTemp,Y2000_faMaxWtrTemp,Y2010_spAvgFlow,Y2010_spMinFlow,Y2010_spMaxFlow,Y2010_spAvgWtrTemp,Y2010_spMinWtrTemp,Y2010_spMaxWtrTemp,Y2010_faAvgFlow,Y2010_faMinFlow,Y2010_faMaxFlow,Y2010_faAvgWtrTemp,Y2010_faMinWtrTemp,Y2010_faMaxWtrTemp,Y2020_spAvgFlow,Y2020_spMinFlow,Y2020_spMaxFlow,Y2020_spAvgWtrTemp,Y2020_spMinWtrTemp,Y2020_spMaxWtrTemp,Y2020_faAvgFlow,Y2020_faMinFlow,Y2020_faMaxFlow,Y2020_faAvgWtrTemp,Y2020_faMinWtrTemp,Y2020_faMaxWtrTemp
zj44g06x,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/FMNH/4356wh3b.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/FMNH/2n62wz12.png,Alosa,Clupeidae,Alosa pseudoharengus,0,37.42778,-76.414263,Virginia,,Chesapeake Basin,5,1209,0.112076098337887,80.5442151011438,2.68885547102889,0.26538028300201,0.359765167369419,0.73764863047319,0.794246498524067,0.443817039179638,0.217283701925693,0.112514911614792,0.178568316275647,0.801340085401396,0.278850607353786,1.15899420884139,0.612068965517241,0.570652173913043,0.467391304347826,0.439102564102564,0.488782051282051,0.620192307692308,0.847433329,0.6463,0.9989,10.4726669,7.438,12.64,2.055666685,1.221,2.852,8.0030001,5.606,10.64,1.095166683,0.5855,1.664,11.0759999,9.518,12.67,0.957599978,0.6831,1.31,9.444333553,6.503,11.77,1.292300026,0.9899,1.463,10.71066697,8.352,12.89,1.549566686,0.8517,2.095,9.944333394,7.283,12.26,1.310433328,0.6383,2.073,11.1266667,9.59,12.36,2.126166681,0.8725,4.552,9.514333248,6.673,11.67,2.306333303,2.075,2.557,10.55666637,8.65,11.86,1.778333386,1.172,2.407,9.223999977,6.512,10.59,0.538066665,0.3326,0.6633,11.41300011,9.819,12.93,1.27580001,0.2274,2.168,10.9179999,8.644,12.96,3.286333323,3.022,3.711,7.815333366,6.949,8.875,5.340666691,3.977,6.894,6.086333434,5.195,7.244,1.112066636,0.3224,2.149,12.12399991,9.492,14.17,1.341499984,0.6594,2.458,10.22399982,7.162,12.23
m274z368,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/FMNH/5834123s.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/FMNH/1997p82m.png,Alosa,Clupeidae,Alosa pseudoharengus,0,41.928498,-73.724548,New York,,Hudson Basin,14,250,0.0937247541641074,66.3876862204754,2.92684047311146,0.258500469340805,0.347021752446627,0.744911428515026,0.750984268425914,0.482278416570728,0.159473467562355,0.12813650050184,0.178635461738902,0.798474815328345,0.318565478950429,1.20452849863572,0.560606060606061,0.66887417218543,0.576158940397351,0.473509933774834,0.513245033112583,0.637417218543046,0.293933332,0.2345,0.403,14.43466632,9.884,18.71,0.389733344,0.218,0.6794,15.68666649,10.01,19.31,2.338999987,2.027,2.737,19.05666733,16.87,21.6,2.066999992,1.812,2.254,14.92233308,8.927,20.47,2.838333368,2.232,3.389,17.81666629,11.82,23.06,2.223333319,1.992,2.362,15.89666684,9.93,20.19,2.132666707,1.774,2.551,18.84333356,15.52,22.19,1.556666652,1.42,1.729,16.08666643,10.28,21.31,2.620666663,2.194,2.846,18.17000008,13.42,22.34,2.290000002,1.867,3.059,16.1613334,9.544,21.03,1.840666652,1.654,2.077,20.07666651,16.78,23.23,1.376999974,1.294,1.453,19.04333305,13.84,24.33,2.151666641,1.987,2.439,18.88333289,13.89,22.63,2.612666686,2.52,2.696,17.13333384,12.68,21.86,1.863666654,1.507,2.24,20.8266662,14.7,25.46,1.622999986,1.315,2.041,17.89333344,12.18,22.22
hd67f48j,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/FMNH/0p48g34n.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/FMNH/sr65m145.png,Alosa,Clupeidae,Alosa pseudoharengus,1941,44.318286,-69.036658,Maine,Waldo,Maine bay Basin,16,409,0.120992528583487,76.3800809535407,3.21956132185129,0.239510094259878,0.314784832389849,0.760869233887526,0.894358920002103,0.444714818641958,0.136179963619303,0.0843940805132982,0.181321774375141,0.80337574119943,0.242309615982407,0.998296911212884,0.548387096774194,0.643617021276596,0.515957446808511,0.451994091580502,0.506646971935007,0.725258493353028,0.590733349,0.393,0.8514,14.53666655,10.07,18.57,0.688899984,0.3181,1.402,14.98600038,9.328,18.27,1.144233346,0.8319,1.631,16.88666693,13.72,19.9,0.669233342,0.6102,0.7145,14.17266655,8.378,19.81,1.77366666,1.263,2.415,16.52999942,10.92,21.21,1.768666665,1.418,2.313,14.50733312,8.912,19.25,1.090833326,0.8074,1.469,16.79999987,12.35,20.92,0.675533334,0.602,0.7525,15.14199988,9.686,20.41,1.051999986,0.7473,1.494,17.03666655,12.3,21.06,0.760066668,0.6256,0.9929,15.21499983,9.175,20.08,0.703499993,0.5958,0.8634,18.03333314,14.36,21.3,0.496100008,0.4612,0.5457,16.81999969,12.32,21.72,1.210466683,0.8884,1.646,17.74999968,13.69,21.51,1.708166679,0.9345,2.188,16.23000018,11.18,21.27,0.899100025,0.6695,1.213,18.8799998,12.98,23.64,0.688533326,0.5627,0.8919,16.69333363,10.88,21.1
7m69x046,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/INHS/0m170k2s.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/INHS/87666z0r.png,Cyprinella,Cyprinidae,Cyprinella lutrensis,1967,36.323293,-89.183053,Tennessee,Obion,Obion Hatchie Basin,34,50,0.14093439748425,61.1888719437499,4.11771840749982,0.245538843811161,0.32474137450454,0.756105821704369,0.873128250130799,0.513349963990845,0.143940013543332,0.107592917530707,0.181140471271508,0.799370096941503,0.316264607927178,1.09166656401582,0.596491228070175,0.73015873015873,0.428571428571429,0.517799352750809,0.488673139158576,0.677993527508091,1.186433335,0.5053,1.853,18.15666644,16.17,19.21,0.304633339,0.1904,0.4286,18.50666714,13.38,21.61,1.170933346,0.7518,1.39,22.88000043,20.12,25.94,1.018566668,0.6415,1.63,19.513333,14.5,23.8,1.024899979,0.5778,1.752,21.11999957,15.42,26.48,0.36013333,0.2699,0.4628,21.08999983,14.95,26.11,0.964866678,0.6438,1.255,22.98333295,20.57,24.81,0.977400015,0.4988,1.794,18.64333344,11.91,23.32,1.733666639,0.961,2.264,22.5333341,19.69,25.12,0.959266663,0.6156,1.492,19.86666616,13.49,25.23,1.279666662,1.147,1.516,23.21999995,19.62,25.64,0.823799988,0.7162,0.9263,21.18666712,17.29,24.7,1.235933284,0.7836,2.021,22.23333359,18.43,25.33,1.085166673,0.5989,1.757,19.88000043,16.02,24.2,0.481066659,0.2023,0.7147,24.53333346,18.99,28.37,0.268900002,0.1935,0.3262,20.17999967,13.65,24.68
19171t4w,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/FMNH/pr92bz7h.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/FMNH/6t01dv9f.png,Cyprinella,Cyprinidae,Cyprinella lutrensis,1972,37.07672,-88.964588,Kentucky,Ballard,Ohio River Basin,20,982,0.109139636309754,67.4497686023232,3.24303801022273,0.245406533637367,0.324770418361717,0.755630807988313,0.7265649721003,0.402154500165636,0.209965807108099,0.125958128360599,0.1647442421501,0.814504881450488,0.322900201122527,1.39835384437856,0.324137931034483,0.548672566371681,0.371681415929204,0.545454545454545,0.471953578336557,0.649903288201161,4.506000042,3.087,5.458,12.73666668,11.61,14.75,0.894700011,0.5307,1.355,17.19666672,14.32,19.1,2.663666725,1.484,4.353,14.63333352,10.53,18.85,0.862533331,0.6362,1.112,16.96000067,14.64,18.87,1.622033338,0.9121,2.698,16.12200006,9.276,22.56,0.540333331,0.39,0.7048,21.49666659,17.08,24.41,2.059666713,1.151,3.433,15.89999994,11.78,19.33,2.894333343,0.874,4.868,12.68666633,6.72,20.14,5.402666728,4.222,6.75,11.98999977,10.24,14.33,1.610333323,1.491,1.754,14.36133321,9.554,18.24,4.42233332,2.315,7.936,13.27000014,11.63,15.83,1.694999973,1.051,2.655,15.19666672,13.91,16.02,2.262000004,1.771,3.092,14.42333317,10.5,17.47,3.763000011,1.371,7.126,12.36333307,11.62,13.15,0.803733349,0.5698,1.125,22.74000041,15.32,28.61,0.338033333,0.247,0.4377,23.51000023,17.07,27.09
xj613r42,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/FMNH/w428g560.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/FMNH/5z71n93t.png,Cyprinella,Cyprinidae,Cyprinella lutrensis,1922,38.195585,-90.335984,Illinois,Monroe,Kaskaskia Basin,31,161,0.121475374788884,62.156568249873,3.34811551301842,0.266638005258411,0.363423539142281,0.733683915708118,0.712876536007172,0.382772605676323,0.217041283327823,0.148499364551765,0.166395549337931,0.808894817321144,0.381709562205239,1.37076676013197,0.333333333333333,0.573913043478261,0.530434782608696,0.55637707948244,0.493530499075786,0.66543438077634,21.50033283,5.401,46.01,25.78999964,20.05,30.38,7.928333124,3.409,12.73,23.38666662,16.64,28.86,14.1133337,9.25,20.95,25.57999992,21.87,29.97,14.47300005,6.499,21.16,21.54999987,16.1,27.15,9.041666667,4.389,14.14,23.14000003,14.92,31.12,3.096000036,1.934,4.73,24.40333366,16.91,30.7,28.37333298,19.86,39.87,20.92000039,15.64,24.67,34.0600001,25,42.95,15.11666648,10.22,19.39,28.96000036,16.46,36.33,18.35000006,15.72,22.97,14.18766721,6.483,19.29,20.78000005,12.84,28.23,28.48666573,21.31,35.69,20.64000003,17.14,24.78,14.32466666,9.624,19.83,22.37333361,19.29,24.69,38.02000046,31.57,42.95,18.51666641,16.07,22.16,35.24000072,10.28,67.69,17.94999949,17.48,18.72,12.05333304,3.28,18.98,25.52666728,18.52,33.33,8.880666733,5.347,14.87,21.29666678,13.63,26.51
vm39955p,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/FMNH/hz11603z.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/FMNH/v440w19c.png,Cyprinella,Cyprinidae,Cyprinella lutrensis,1947,39.210726,-89.954926,Illinois,Macoupin*,Upper Mississippi River Basin,27,1020,0.116144961843058,70.0641239506294,2.79857164046747,0.277145459308009,0.381913508834965,0.725675978714256,0.681704456303281,0.390561536990324,0.234346180448,0.109696118039698,0.166464421994474,0.815275077121011,0.313992369959364,1.27182228429368,0.513761467889908,0.52755905511811,0.47244094488189,0.504798464491363,0.547024952015355,0.666026871401152,1.965133299,0.3439,4.626,23.24333318,18.02,27.65,0.538706668,0.02702,0.9743,22.00000032,14.19,27.62,7.474666754,5.412,11.41,23.38999939,20.3,27.22,9.855666478,5.007,12.69,19.90999953,15.7,24.46,4.227333307,3.134,5.66,21.51333332,14.47,28.43,2.509333293,2.418,2.675,21.65000025,14.92,27.08,8.43599987,4.776,14.74,23.50666682,21.71,25.2,11.15799999,4.174,17.94,18.83666706,11.14,24.17,8.907333215,3.949,13.28,23.06333351,18.42,26.87,6.234666586,2.476,8.921,19.87666702,12.91,25.79,6.320333163,5.278,8.341,23.72666677,20.27,26.13,4.252000014,3.725,4.959,22.20999972,17.55,27.1,7.12833341,4.365,8.791,22.51666705,17.98,26.29,8.705666622,2.707,19.99,21.06333288,17.47,24.74,1.345450049,0.03835,2.604,25.72666613,18.74,30.48,1.081866642,0.2583,2.432,20.50333341,14.08,25.32
vv15cj8c,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/FMNH/fh19193c.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/FMNH/9t74f51r.png,Cyprinella,Cyprinidae,Cyprinella lutrensis,1967,40.239482,-88.805425,Illinois,DeWitt,Upper Mississippi River Basin,27,932,0.141073929063747,69.3445035954418,2.91570643547196,0.233677833525349,0.304679527708152,0.766962701048906,0.609846343567869,0.386104656044172,0.25510460854947,0.0979041621568435,0.134957838124959,0.851829227806918,0.293907561393333,1.55822092779679,0.429752066115702,0.56198347107438,0.520661157024793,0.525043177892919,0.481865284974093,0.640759930915371,2.244433343,0.3093,3.644,22.30333265,17.46,26.3,1.412233353,0.6237,2.075,21.17333317,13.45,26.61,3.67533342,2.365,4.998,22.54333305,19.48,26.19,2.76699996,2.467,3.08,18.84999975,14.73,23.72,1.676666697,1.26,2.278,20.53333282,13.24,27.31,1.039066672,0.9312,1.148,20.62000052,13.7,25.79,1.630333304,1.379,1.862,22.9266669,21.61,24.31,2.756000042,1.769,4.421,18.10666656,10.15,23.34,2.369333347,1.928,3.016,22.07000033,17.37,25.81,2.626666705,1.606,3.246,18.59333356,11.73,24.54,4.442999999,3.274,6.73,23.50666682,20.07,25.61,2.130666614,1.834,2.304,21.69333331,16.48,26.92,2.795000037,1.476,3.696,21.93666649,17.52,25.22,3.768000007,1.188,8.578,20.21666654,16.54,23.89,0.498466685,0.1675,0.7588,25.013333,17.39,29.88,0.181599999,0.1433,0.2103,19.67333349,12.85,24.19
fp15xk2g,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/FMNH/th77zw2s.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/FMNH/r735454h.png,Cyprinella,Cyprinidae,Cyprinella lutrensis,1966,40.440756,-89.074432,Illinois,McLean,Upper Mississippi River Basin,27,927,0.127829474944456,62.5420053593465,3.51279673636126,0.265698804894338,0.361530997953818,0.734926759802429,0.723067766812531,0.392561403143194,0.233582471019809,0.132477567298106,0.17787630237198,0.798559077809798,0.367727701308004,1.19166803049504,0.362962962962963,0.54,0.41,0.5,0.479423868312757,0.635802469135803,3.683000048,1.452,5.958,22.75333277,17.72,26.99,3.065666676,1.349,4.98,21.47333336,13.75,26.94,7.050333341,4.843,10.29,22.98666636,19.76,26.9,6.508666674,5.089,7.449,19.21333313,15.15,24.02,3.795333385,2.957,4.925,20.88333321,13.52,27.75,2.394666672,2.139,2.655,20.99333318,14.17,26.24,4.283666531,3.464,4.766,23.28000005,22.01,24.71,6.187666575,4.648,8.262,18.48666636,10.48,23.71,5.635666688,5.132,6.402,22.51666641,17.81,26.42,6.270999829,3.648,8.695,18.98333327,12.12,24.92,8.214999994,6.508,10.84,23.87666702,20.33,26.1,4.611000061,3.9,4.986,22.09333293,16.93,27.38,5.453666608,3.595,6.949,22.32333374,17.79,25.82,8.262999932,2.969,17.56,20.53666623,16.92,24.23,1.183433314,0.5513,1.525,25.37666639,17.82,30.18,0.854499996,0.5357,1.305,19.95000045,13.31,24.62
5s09rm98,https://fishair.org/hdr-share/ftp/ark/89609/seg/GLIN/INHS/n6554g90.png,https://fishair.org/hdr-share/ftp/ark/89609/bb/GLIN/INHS/jb21bs3z.png,Cyprinus,Cyprinidae,Cyprinus carpio,1997,35.2835,-99.63982,Oklahoma,Beckham,Arkansas White Red River Basin,2,666,0.0540006297739093,54.7312023658427,3.1087294989392,0.321544390333062,0.473884411077546,0.678529157779038,0.766273900716546,0.414926985014142,0.396663867416329,0.0686066114490948,0.233114053823153,0.750892780862879,0.267482017858501,1.24977698704365,0.333333333333333,0.581395348837209,0.364341085271318,0.499043977055449,0.521988527724665,0.75717017208413,0.293396673,0.04459,0.4853,23.03999996,20.27,25.81,0.904233356,0,2.098,17.54000092,17.54,17.54,3.793000062,1.769,6.901,25.99000041,21.03,29.83,8.275333563,1.471,20.28,22.95666695,17.53,28.94,2.838999987,1.905,4.631,24.64666684,19.25,30.35,3.206666708,1.335,5.099,23.71000036,17.04,29.48,6.975999991,6.487,7.888,25.486667,22.02,28.53,5.33100001,5.01,5.686,22.1266667,14.71,28.09,3.165333271,2.675,3.438,27.3233331,23.42,30.25,2.424333334,2.201,2.55,23.68000031,17.44,29.09,15.15799999,9.754,21.16,25.45999972,20.83,28.83,9.655000051,8.945,10.38,23.93000031,19.29,27.74,14.68800004,6.394,25.99,23.98999977,20.14,28.51,8.008333365,7.596,8.25,24.68666649,19.09,28.59,3.155666669,2.165,4.494,27.70999972,21.8,31.35,3.053333362,2.708,3.63,24.53666623,18.97,29.23
