land_ref_label,land_Lat-Center,land_Lon-Center,land_Lat-NW,land_Lon-NW,land_Lat-SE,land_Lon-SE,GRASSY_LOCAL,DENSE_WOOD_LOCAL,WOODY_LOCAL,SUBURBAN_LOCAL,WATERY_LOCAL,URBAN_LOCAL,AGRICULTURAL_LOCAL,GRASSY_BROAD,DENSE_WOOD_BROAD,WOODY_BROAD,SUBURBAN_BROAD,WATERY_BROAD,URBAN_BROAD,AGRICULTURAL_BROAD
farmCherry_1,40.332624,-74.749758,40.3362471884058,-74.75433675457876,40.329000811594206,-74.74517924542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farmCherry_2,40.332624,-74.728754,40.3362471884058,-74.73333275457875,40.329000811594206,-74.72417524542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farmCherry_3,40.332624,-74.707701,40.3362471884058,-74.71227975457876,40.329000811594206,-74.70312224542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farmCherry_4,40.322965,-74.749758,40.3265881884058,-74.75433675457876,40.31934181159421,-74.74517924542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farmCherry_5,40.322965,-74.728754,40.3265881884058,-74.73333275457875,40.31934181159421,-74.72417524542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farmCherry_6,40.322965,-74.707701,40.3265881884058,-74.71227975457876,40.31934181159421,-74.70312224542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farmCherry_7,40.313732,-74.749758,40.3173551884058,-74.75433675457876,40.310108811594205,-74.74517924542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farmCherry_8,40.313732,-74.728754,40.3173551884058,-74.73333275457875,40.310108811594205,-74.72417524542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farmCherry_9,40.313732,-74.707701,40.3173551884058,-74.71227975457876,40.310108811594205,-74.70312224542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farmDblBrook_1,40.365821,-74.76289,40.369444188405794,-74.76746875457876,40.3621978115942,-74.75831124542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farmDblBrook_2,40.365821,-74.741672,40.369444188405794,-74.74625075457875,40.3621978115942,-74.73709324542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farmDblBrook_3,40.365821,-74.720636,40.369444188405794,-74.72521475457876,40.3621978115942,-74.71605724542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farmDblBrook_4,40.354852,-74.76289,40.3584751884058,-74.76746875457876,40.351228811594204,-74.75831124542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farmDblBrook_5,40.354852,-74.741672,40.3584751884058,-74.74625075457875,40.351228811594204,-74.73709324542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farmDblBrook_6,40.354852,-74.720636,40.3584751884058,-74.72521475457876,40.351228811594204,-74.71605724542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farmDblBrook_7,40.345643,-74.76289,40.3492661884058,-74.76746875457876,40.342019811594206,-74.75831124542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farmDblBrook_8,40.345643,-74.741672,40.3492661884058,-74.74625075457875,40.342019811594206,-74.73709324542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farmDblBrook_9,40.345643,-74.720636,40.3492661884058,-74.72521475457876,40.342019811594206,-74.71605724542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farmLawrenceville_1,40.328533,-74.765787,40.3321561884058,-74.77036575457876,40.3249098115942,-74.76120824542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farmLawrenceville_2,40.328533,-74.744964,40.3321561884058,-74.74954275457875,40.3249098115942,-74.74038524542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farmLawrenceville_3,40.328533,-74.723841,40.3321561884058,-74.72841975457875,40.3249098115942,-74.71926224542123,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farmLawrenceville_4,40.318704,-74.765787,40.322327188405794,-74.77036575457876,40.3150808115942,-74.76120824542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farmLawrenceville_5,40.318704,-74.744964,40.322327188405794,-74.74954275457875,40.3150808115942,-74.74038524542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farmLawrenceville_6,40.318704,-74.723841,40.322327188405794,-74.72841975457875,40.3150808115942,-74.71926224542123,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farmLawrenceville_7,40.30969,-74.765787,40.3133131884058,-74.77036575457876,40.30606681159421,-74.76120824542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farmLawrenceville_8,40.30969,-74.744964,40.3133131884058,-74.74954275457875,40.30606681159421,-74.74038524542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farmLawrenceville_9,40.30969,-74.723841,40.3133131884058,-74.72841975457875,40.30606681159421,-74.71926224542123,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farmStony_1,40.363028,-74.74057,40.3666511884058,-74.74514875457876,40.3594048115942,-74.73599124542125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
