land_ref_label,land_Lat-Center,land_Lon-Center,land_Lat-NW,land_Lon-NW,land_Lat-SE,land_Lon-SE,GRASSY_LOCAL,DENSE_WOOD_LOCAL,WOODY_LOCAL,SUBURBAN_LOCAL,WATERY_LOCAL,URBAN_LOCAL,AGRICULTURAL_LOCAL,GRASSY_BROAD,DENSE_WOOD_BROAD,WOODY_BROAD,SUBURBAN_BROAD,WATERY_BROAD,URBAN_BROAD,AGRICULTURAL_BROAD
farmCherry_1,40.332624,-74.749758,40.33624719,-74.75433675,40.32900081,-74.74517925,0.029124567,0.257376495,0.410786231,0.025680686,0.265961631,0.011070391,0,0.163109998,0.204269619,0.299283532,0.077095203,0.23749219,0.010224544,0.008524914
farmCherry_2,40.332624,-74.728754,40.33624719,-74.73333275,40.32900081,-74.72417525,0.211564544,0.089366232,0.027461405,0.076313147,0.191875609,0.1219087,0.281510363,0.217497322,0.148580094,0.030377653,0.137913934,0.291489336,0.081682779,0.092458881
farmCherry_3,40.332624,-74.707701,40.33624719,-74.71227975,40.32900081,-74.70312225,0.2143804,0.243007908,0.121227224,0.098278686,0.320441864,0.002663918,0,0.190708776,0.246657912,0.05003976,0.291402066,0.178361698,0.042829789,0
farmCherry_4,40.322965,-74.749758,40.32658819,-74.75433675,40.31934181,-74.74517925,0.460248954,0.269608055,0.087559805,0.009367761,0.163003475,0.010175187,3.68E-05,0.431917107,0.180799524,0.137773829,0.034874985,0.200814589,0.006344168,0.007475798
farmCherry_5,40.322965,-74.728754,40.32658819,-74.73333275,40.31934181,-74.72417525,0.434925028,0.077209939,0.216791736,0.094411732,0.161404776,0.00099545,0.014261339,0.318545784,0.119463602,0.074340532,0.158354702,0.270206847,0.01953332,0.039555214
farmCherry_6,40.322965,-74.707701,40.32658819,-74.71227975,40.31934181,-74.70312225,0.035446491,0.102307766,0.021003688,0.008366569,0.132533976,0.70034151,0,0.126575692,0.141010433,0.035954228,0.25697933,0.145315976,0.280609487,0.013554853
farmCherry_7,40.313732,-74.749758,40.31735519,-74.75433675,40.31010881,-74.74517925,0.240040129,0.127684673,0.004270737,1.39E-06,0.607626423,0.020376652,0,0.499143713,0.118790269,0.019870926,0.048752312,0.288827061,0.01351577,0.011099949
farmCherry_8,40.313732,-74.728754,40.31735519,-74.73333275,40.31010881,-74.72417525,0.225011927,0.085503522,0.077221347,0.458975769,0.115161127,0.023948628,0.014177681,0.2203321,0.095166473,0.053394993,0.35714132,0.185376792,0.057366981,0.031221341
farmCherry_9,40.313732,-74.707701,40.31735519,-74.71227975,40.31010881,-74.70312225,0.058266523,0.146752919,0.076817372,0.53266244,0.145327059,0.034419527,0.00575416,0.167487422,0.113038925,0.038338412,0.422971226,0.144449601,0.078837198,0.034877216
farmCherryCentered_1,40.322663,-74.744577,40.329909,-74.753735,40.315417,-74.735419,0.453148,0.160927,0.08098,0.051281,0.230107,0.00108,0.022476,0.442789569,0.158071098,0.107797874,0.079058903,0.17752441,0.009821956,0.02493619
farmCherryCentered_2,40.322663,-74.716234,40.329909,-74.725392,40.315417,-74.707076,0.154584,0.229856,0.038889,0.354409,0.061118,0.048124,0.11302,0.134693,0.171771774,0.036346016,0.227759718,0.232862437,0.122712802,0.073854253
farmCherryCentered_3,40.322663,-74.687793,40.329909,-74.696951,40.315417,-74.678635,0.018548,0.157542,0.048423,0.56262,0.149575,0.063292,0,0.185582951,0.128029537,0.025922855,0.424629489,0.120142373,0.083169944,0.032522852
farmCherryCentered_4,40.310457,-74.744577,40.317703,-74.753735,40.303211,-74.735419,0.4971,0.017797,0.028966,0.059384,0.355279,0.017607,0.023866,0.463761857,0.042759615,0.01694712,0.055926125,0.270702888,0.141257549,0.008644845
farmCherryCentered_5,40.310457,-74.716234,40.317703,-74.725392,40.303211,-74.707076,0.340519,0.079059,0.040179,0.242591,0.178853,0.004576,0.114222,0.305444521,0.132522436,0.01920099,0.275577831,0.20684662,0.015678055,0.044729548
farmCherryCentered_6,40.310457,-74.687793,40.317703,-74.696951,40.303211,-74.678635,0.12547,0.005901,0.063293,0.240379,0.234145,0.017717,0.313095,0.158441142,0.022391718,0.059275447,0.294628049,0.258348312,0.069850984,0.137064347
farmCherryCentered_7,40.29975,-74.744577,40.306996,-74.753735,40.292504,-74.735419,0.029289,0,0.042585,0.671771,0,0.256355,0,0.12340289,0.018596797,0.022597199,0.585375361,0.049237719,0.200039651,0.000750383
farmCherryCentered_8,40.29975,-74.716234,40.306996,-74.725392,40.292504,-74.707076,0.496321,0.006778,0.0805,0,0.245134,0.171268,0,0.473953068,0.060712098,0.056524805,0.062880265,0.245510972,0.088372701,0.012046092
