variableName,Definition
sat_label,Label for satellite image
sat_url,Url  for satellite image
sat_Location,General Location name for satellite image
sat_Type,Categorical: farm   garden   golf   or school
sat_Lat-Center,Latitude for Center of satellite image
sat_Lon-Center,Longitude for Center of satellite image
sat_Lat-NW,Latitude for upper   NW corner of satellite image
sat_Lon-NW,Longitude for upper   NW corner of  satellite image
sat_Lat-SE,Latitude for lower   SE corner of  satellite image
sat_Lon-SE,Longitude for lower   SE corner of satellite image
sat_medianHue,Median amt of hue across all pixels of satillite image; Satillite images were 1) resized to have same pixel dimensions; 2) summarized using pixel HSV data.  
sat_sdHue,Std. Dev. for amt of hue across all pixels of satillite image; Satillite images were 1) resized to have same pixel dimensions; 2) summarized using pixel HSV data.  
sat_medianSat,Median amt of saturation across all pixels of satillite image; Satillite images were 1) resized to have same pixel dimensions; 2) summarized using pixel HSV data.  
sat_sdSat,Std. Dev. for amt of saturation across all pixels of satillite image; Satillite images were 1) resized to have same pixel dimensions; 2) summarized using pixel HSV data.  
sat_medianVal,Median amt of value across all pixels of satillite image; Satillite images were 1) resized to have same pixel dimensions; 2) summarized using pixel HSV data.  
sat_sdVal,Std. Dev. for amt of value across all pixels of satillite image; Satillite images were 1) resized to have same pixel dimensions; 2) summarized using pixel HSV data.  
sat_cl1hue,Mean hue in X biggest cluster (e.g. cl1=biggest cluster; cl2= 2nd biggest cluster;  etc.)
sat_cl2hue,Mean hue in X biggest cluster (e.g. cl1=biggest cluster; cl2= 2nd biggest cluster;  etc.)
sat_cl3hue,Mean hue in X biggest cluster (e.g. cl1=biggest cluster; cl2= 2nd biggest cluster;  etc.)
sat_cl4hue,Mean hue in X biggest cluster (e.g. cl1=biggest cluster; cl2= 2nd biggest cluster;  etc.)
sat_cl1sat,Mean saturation in X biggest cluster (e.g. cl1=biggest cluster; cl2= 2nd biggest cluster; etc.)
sat_cl2sat,Mean saturation in X biggest cluster (e.g. cl1=biggest cluster; cl2= 2nd biggest cluster; etc.)
sat_cl3sat,Mean saturation in X biggest cluster (e.g. cl1=biggest cluster; cl2= 2nd biggest cluster; etc.)
sat_cl4sat,Mean saturation in X biggest cluster (e.g. cl1=biggest cluster; cl2= 2nd biggest cluster; etc.)
sat_cl1val,Mean value in X biggest cluster (e.g. cl1=biggest cluster; cl2= 2nd biggest cluster; etc.)
sat_cl2val,Mean value in X biggest cluster (e.g. cl1=biggest cluster; cl2= 2nd biggest cluster; etc.)
sat_cl3val,Mean value in X biggest cluster (e.g. cl1=biggest cluster; cl2= 2nd biggest cluster; etc.)
sat_cl4val,Mean value in X biggest cluster (e.g. cl1=biggest cluster; cl2= 2nd biggest cluster; etc.)
sat_cl1size,Proportion of image pixels in X biggest cluster (e.g. cl1=biggest cluster; cl2= 2nd biggest cluster; etc.)
sat_cl2size,Proportion of image pixels in X biggest cluster (e.g. cl1=biggest cluster; cl2= 2nd biggest cluster; etc.)
sat_cl3size,Proportion of image pixels in X biggest cluster (e.g. cl1=biggest cluster; cl2= 2nd biggest cluster; etc.)
sat_cl4size,Proportion of image pixels in X biggest cluster (e.g. cl1=biggest cluster; cl2= 2nd biggest cluster; etc.)
sat_cl1name,Name of color defined by X biggest cluster centroid (e.g. cl1=biggest cluster; cl2= 2nd biggest cluster; etc.)
sat_cl2name,Name of color defined by X biggest cluster centroid (e.g. cl1=biggest cluster; cl2= 2nd biggest cluster; etc.)
sat_cl3name,Name of color defined by X biggest cluster centroid (e.g. cl1=biggest cluster; cl2= 2nd biggest cluster; etc.)
sat_cl4name,Name of color defined by X biggest cluster centroid (e.g. cl1=biggest cluster; cl2= 2nd biggest cluster; etc.)
