sat_label,sat_url,sat_Location,sat_zoomScale,sat_Type,sat_Lat-Center,sat_Lon-Center,sat_Lat-NW,sat_Lon-NW,sat_Lat-SE,sat_Lon-SE,sat_minRed,sat_firstQrtRed,sat_medianRed,sat_meanRed,sat_thirdQrtRed,sat_maxRed,sat_sdRed,sat_minGreen,sat_firstQrtGreen,sat_medianGreen,sat_meanGreen,sat_thirdQrtGreen,sat_maxGreen,sat_sdGreen,sat_minBlue,sat_firstQrtBlue,sat_medianBlue,sat_meanBlue,sat_thirdQrtBlue,sat_maxBlue,sat_sdBlue,sat_cl1red,sat_cl2red,sat_cl3red,sat_cl1green,sat_cl2green,sat_cl3green,sat_cl1blue,sat_cl2blue,sat_cl3blue,sat_cl1size,sat_cl2size,sat_cl3size,sat_cl1name,sat_cl2name,sat_cl3name
farmCherry1000,https://github.com/Imageomics/Andromeda/raw/main/datasets/satelliteData/farmCherry1000.png,Cherry Orchid Farm,1000ft,farm,40.322965,-74.728754,40.327795,-74.739312,40.31822,-74.718198,0.003921569,0.133333333,0.22745098,0.254975136,0.349019608,0.878431373,0.15481567,0.003921569,0.223529412,0.337254902,0.339237509,0.454901961,0.890196078,0.150046854,0.011764706,0.145098039,0.2,0.219807573,0.266666667,0.941176471,0.111498234,0.130703247767966,0.337625967273022,0.629418030948582,0.21254448500284,0.439925363347001,0.610131635071615,0.142597147390511,0.260086611231687,0.527161853752496,0.491905506020774,0.442514937034654,0.0655795569445721,gray16,darkolivegreen,gray59
farmLawrenceville1000,https://github.com/Imageomics/Andromeda/raw/main/datasets/satelliteData/farmLawrenceville1000.png,Lawrenceville School’s Big Red Farm,1000ft,farm,40.318704,-74.744964,40.323855,-74.755453,40.314606,-74.734452,0,0.156862745,0.274509804,0.254715006,0.333333333,0.866666667,0.117048281,0,0.274509804,0.403921569,0.364473465,0.450980392,0.862745098,0.124529551,0.003921569,0.156862745,0.2,0.20483217,0.239215686,0.870588235,0.077674118,0.291992958475202,0.120872500351493,0.425488564182119,0.420368550756153,0.214396872262413,0.506558299008719,0.215121153991692,0.131666309767155,0.333547428387154,0.518700248184576,0.333302693262248,0.147997058553176,darkolivegreen,gray16,darkseagreen4
farmStony1000,https://github.com/Imageomics/Andromeda/raw/main/datasets/satelliteData/farmStony1000.png,Stony Ford Field Station Farm,1000ft,farm,40.352764,-74.719865,40.357918,-74.730329,40.347739,-74.70929,0.003921569,0.117647059,0.2,0.234438258,0.325490196,0.921568627,0.152188139,0,0.188235294,0.298039216,0.306820848,0.423529412,0.941176471,0.148048434,0,0.121568627,0.17254902,0.197420402,0.243137255,0.929411765,0.118952315,0.121787136380059,0.309994025107731,0.576190893789413,0.190679291964749,0.40812517490957,0.551015512831742,0.121548800684429,0.234248749912431,0.492550053316483,0.521796120967001,0.393117014431473,0.0850868646015259,gray14,darkolivegreen,lightyellow4
gardenMtLake1000,https://github.com/Imageomics/Andromeda/raw/main/datasets/satelliteData/gardenMtLake1000.png,Mt. Lake,1000ft,garden,40.365934,-74.672103,40.370705,-74.682579,40.361313,-74.661517,0.011764706,0.180392157,0.243137255,0.274770944,0.337254902,0.905882353,0.137369092,0.003921569,0.266666667,0.345098039,0.355466207,0.439215686,0.91372549,0.128481177,0.078431373,0.22745098,0.266666667,0.292661753,0.325490196,0.917647059,0.102876795,0.165241900556776,0.303576019261208,0.548223413238344,0.244202285819331,0.405591451723047,0.565210655018374,0.221352717590045,0.304259053772195,0.49403073655963,0.440459601066274,0.428226859086313,0.131313539847412,gray21,gray34,lightyellow4
gardenPrinceton1000,https://github.com/Imageomics/Andromeda/raw/main/datasets/satelliteData/gardenPrinceton1000.png,Princeton,1000ft,garden,40.347059,-74.656342,40.351853,-74.666842,40.342372,-74.645788,0.023529412,0.258823529,0.380392157,0.405550222,0.541176471,0.898039216,0.177879128,0.007843137,0.329411765,0.443137255,0.443003333,0.545098039,0.901960784,0.156768963,0.109803922,0.305882353,0.388235294,0.433104384,0.552941176,0.898039216,0.155319086,0.230672966833432,0.425554824177526,0.65456197569909,0.289603911376918,0.469627329941345,0.647339928181435,0.292909114624597,0.431627435066892,0.659925216458965,0.385522566412354,0.373756779115728,0.240720654471918,gray27,gray44,gray65
golfHopewell1000,https://github.com/Imageomics/Andromeda/raw/main/datasets/satelliteData/golfHopewell1000.png,Hopewell Golf course,1000ft,golf,40.364166,-74.783442,40.369013,-74.793954,40.359555,-74.772848,0,0.164705882,0.266666667,0.294876475,0.423529412,0.929411765,0.159669547,0.003921569,0.262745098,0.37254902,0.366450146,0.478431373,0.925490196,0.139312741,0.011764706,0.184313725,0.247058824,0.264108524,0.329411765,0.945098039,0.112016063,0.13428920843552,0.309290509831127,0.507756436912848,0.218010734912246,0.403171554902596,0.529340192243693,0.161372046303954,0.266217812777381,0.410599845062371,0.372865153047155,0.37098078867543,0.256154058277415,gray17,darkolivegreen,lemonchiffon4
golfPrinceton1000,https://github.com/Imageomics/Andromeda/raw/main/datasets/satelliteData/golfPrinceton1000.png,Princeton golf course,1000ft,golf,40.338103,-74.661537,40.342896,-74.672036,40.333395,-74.650956,0.011764706,0.219607843,0.309803922,0.338492198,0.435294118,0.890196078,0.158266183,0.007843137,0.301960784,0.403921569,0.400673469,0.498039216,0.882352941,0.142873515,0.094117647,0.266666667,0.317647059,0.358012844,0.415686275,0.890196078,0.133344367,0.202793992670224,0.390751633986928,0.622417943365613,0.275767949583009,0.464283058697509,0.61603389062471,0.257278454578488,0.378652429013021,0.622619028154253,0.449230627815057,0.411876091552532,0.138893280632411,gray25,dimgray,gray62
schHopeElem1000,https://github.com/Imageomics/Andromeda/raw/main/datasets/satelliteData/schHopeElem1000.png,Hopewell Elemenary,1000ft,school,40.38491,-74.75798,40.38963,-74.768464,40.380318,-74.747441,0,0.184313725,0.345098039,0.351300866,0.521568627,0.941176471,0.198504412,0,0.270588235,0.443137255,0.407415957,0.556862745,0.941176471,0.185839504,0.003921569,0.192156863,0.290196078,0.318773337,0.435294118,0.917647059,0.162294995,0.333195490392122,0.57636041762993,0.11391712204342,0.42831425235129,0.592572383922794,0.167614242298383,0.284560753202514,0.505838925398485,0.145292488457848,0.365903116095229,0.339823513190551,0.29427337071422,gray35,ivory4,gray14
schHopeHS_TimberMS1000,https://github.com/Imageomics/Andromeda/raw/main/datasets/satelliteData/schHopeHS_TimberMS1000.png,Hopewell Central HS + Timberlane MS,1000ft,school,40.328281,-74.804559,40.333104,-74.815095,40.323715,-74.793998,0,0.17254902,0.329411765,0.329622532,0.470588235,0.909803922,0.183228567,0,0.262745098,0.396078431,0.373497939,0.470588235,0.905882353,0.15019976,0.015686275,0.184313725,0.278431373,0.302464976,0.380392157,0.91372549,0.150453112,0.389100360383566,0.140111962580577,0.593653167457257,0.424502905143084,0.220806304773198,0.578720732068054,0.319785539448471,0.167228143008724,0.552091106001064,0.435516131997426,0.38573030609431,0.178753561908264,gray38,gray18,gray58
schTollGram1000,https://github.com/Imageomics/Andromeda/raw/main/datasets/satelliteData/schTollGram1000.png,Toll Gate Grammer,1000ft,school,40.321026,-74.78868,40.325808,-74.799129,40.316351,-74.778149,0,0.137254902,0.231372549,0.271685604,0.392156863,0.909803922,0.170894891,0.007843137,0.22745098,0.325490196,0.335580325,0.447058824,0.905882353,0.145261227,0.039215686,0.176470588,0.231372549,0.271916882,0.337254902,0.901960784,0.135452515,0.12978468307217,0.33980033619249,0.559897766254817,0.214809480217442,0.405522555875496,0.553751221246762,0.171675103341501,0.300031709757186,0.520841989944674,0.488473205257836,0.354903943377149,0.156622851365015,gray17,gray35,ivory4
