sat_label,sat_url,sat_Location,sat_zoomScale,sat_Type,sat_Lat-Center,sat_Lon-Center,sat_Lat-NW,sat_Lon-NW,sat_Lat-SE,sat_Lon-SE,sat_minRed,sat_firstQrtRed,sat_medianRed,sat_meanRed,sat_thirdQrtRed,sat_maxRed,sat_sdRed,sat_minGreen,sat_firstQrtGreen,sat_medianGreen,sat_meanGreen,sat_thirdQrtGreen,sat_maxGreen,sat_sdGreen,sat_minBlue,sat_firstQrtBlue,sat_medianBlue,sat_meanBlue,sat_thirdQrtBlue,sat_maxBlue,sat_sdBlue,sat_cl1red,sat_cl2red,sat_cl3red,sat_cl1green,sat_cl2green,sat_cl3green,sat_cl1blue,sat_cl2blue,sat_cl3blue,sat_cl1size,sat_cl2size,sat_cl3size,sat_cl1name,sat_cl2name,sat_cl3name
farmCherry,https://github.com/Imageomics/Andromeda/raw/main/datasets/satelliteData/farmCherry.png,Cherry Orchid Farm,.3mi,farm,40.322965,-74.728754,40.332624,-74.749758,40.313732,-74.707701,0,0.137254902,0.215686275,0.25191335,0.341176471,0.937254902,0.14897944,0,0.22745098,0.325490196,0.33561289,0.443137255,0.933333333,0.139232088,0.003921569,0.149019608,0.196078431,0.221050832,0.262745098,0.937254902,0.110102455,0.136856133857537,0.330597663378352,0.587962870921369,0.222882479756152,0.430932010031182,0.572851801602126,0.150107603031906,0.255861035537141,0.497450129629384,0.513071054324846,0.406425222906517,0.0805037227686368,gray17,darkolivegreen,ivory4
farmLawrenceville,https://github.com/Imageomics/Andromeda/raw/main/datasets/satelliteData/farmLawrenceville.png,Lawrenceville School’s Big Red Farm,.3mi,farm,40.318704,-74.744964,40.328533,-74.765787,40.30969,-74.723841,0,0.145098039,0.243137255,0.2517942,0.341176471,0.894117647,0.130786464,0,0.243137255,0.349019608,0.341728915,0.443137255,0.894117647,0.127349197,0.007843137,0.152941176,0.203921569,0.216487509,0.258823529,0.898039216,0.09262799,0.323937704048494,0.137163142256287,0.53941590365338,0.427173820635792,0.226629981575242,0.534337112226042,0.249021268708535,0.148750983656999,0.461110157695022,0.475313907528265,0.460411802555382,0.0642742899163526,darkolivegreen,gray17,cornsilk4
farmStony,https://github.com/Imageomics/Andromeda/raw/main/datasets/satelliteData/farmStony.png,Stony Ford Field Station Farm,.3mi,farm,40.352764,-74.719865,40.363028,-74.74057,40.342669,-74.698661,0,0.125490196,0.188235294,0.224844606,0.298039216,0.984313725,0.138351991,0,0.2,0.282352941,0.296087941,0.388235294,0.992156863,0.134061992,0,0.129411765,0.17254902,0.196867092,0.239215686,0.992156863,0.108559691,0.125817344476722,0.286553899310674,0.528685673334072,0.1951704175745,0.378878312410847,0.525109924617081,0.128141848823369,0.230761885277736,0.443911992784357,0.525454545454546,0.380586450960566,0.0939590035848883,gray15,darkolivegreen,lemonchiffon4
gardenMtLake,https://github.com/Imageomics/Andromeda/raw/main/datasets/satelliteData/gardenMtLake.png,Mt. Lake,.3mi,garden,40.365934,-74.672103,40.375474,-74.693112,40.356519,-74.650875,0.003921569,0.176470588,0.239215686,0.282357361,0.360784314,0.925490196,0.151668212,0.003921569,0.262745098,0.337254902,0.355194447,0.439215686,0.937254902,0.134945,0.047058824,0.219607843,0.262745098,0.30168643,0.341176471,0.937254902,0.128232048,0.173524190900984,0.336463358956293,0.583562627602864,0.25651010972966,0.419807488923595,0.586984562565051,0.21949857718662,0.328095678666956,0.567546540147157,0.527844470999173,0.343055427888593,0.129100101112235,gray21,gray36,gray58
gardenPrinceton,https://github.com/Imageomics/Andromeda/raw/main/datasets/satelliteData/gardenPrinceton.png,Princeton,.3mi,garden,40.347059,-74.656342,40.356602,-74.677287,40.337598,-74.635291,0.003921569,0.207843137,0.301960784,0.337206173,0.447058824,0.925490196,0.164197797,0,0.282352941,0.380392157,0.390237165,0.494117647,0.933333333,0.144011196,0.074509804,0.254901961,0.31372549,0.357888834,0.435294118,0.917647059,0.137970566,0.196547405492267,0.380059857163943,0.604184951680261,0.265726398570093,0.442406847838824,0.598513147466908,0.250829191125824,0.374515546335679,0.592605402506869,0.456832429451236,0.360319882342127,0.182847688206637,gray24,gray40,gray60
golfHopewell,https://github.com/Imageomics/Andromeda/raw/main/datasets/satelliteData/golfHopewell.png,Hopewell Golf course,.3mi,golf,40.364166,-74.783442,40.373815,-74.804523,40.354771,-74.762368,0,0.160784314,0.235294118,0.281769338,0.396078431,0.949019608,0.158270028,0,0.254901961,0.345098039,0.3549874,0.462745098,0.917647059,0.132802485,0,0.176470588,0.22745098,0.255624951,0.31372549,0.921568627,0.114245163,0.149842584639994,0.323466568584222,0.538859662683261,0.239352741531448,0.412732113781894,0.540609604517117,0.168569946459987,0.272348052679104,0.44549407642327,0.469265557496093,0.346055703649232,0.184678738854674,gray19,darkolivegreen,lemonchiffon4
golfPrinceton,https://github.com/Imageomics/Andromeda/raw/main/datasets/satelliteData/golfPrinceton.png,Princeton golf course,.3mi,golf,40.338103,-74.661537,40.347688,-74.682536,40.328815,-74.640488,0.007843137,0.2,0.28627451,0.329407626,0.435294118,0.968627451,0.167347607,0.007843137,0.278431373,0.37254902,0.387890092,0.494117647,0.976470588,0.145400749,0.109803922,0.250980392,0.298039216,0.345232711,0.407843137,0.964705882,0.133731788,0.194025351635065,0.383895906103948,0.620027985900779,0.267761838920781,0.453153185652532,0.609638751616256,0.247922093588985,0.36700624210097,0.591272428573958,0.489453074731133,0.347737843551797,0.16280908171707,gray23,gray40,gray61
schHopeElem,https://github.com/Imageomics/Andromeda/raw/main/datasets/satelliteData/schHopeElem.png,Hopewell Elemenary,.3mi,school,40.38491,-74.75798,40.394606,-74.779177,40.375683,-74.736848,0,0.164705882,0.274509804,0.320908071,0.48627451,0.941176471,0.187551213,0,0.254901961,0.380392157,0.384290482,0.533333333,0.941176471,0.170926902,0,0.17254902,0.247058824,0.288455059,0.396078431,0.949019608,0.148443915,0.137801880845532,0.319969344941089,0.562837850003586,0.209088910326754,0.413524431236547,0.583862034129385,0.153972226120841,0.275165014454559,0.479486851946724,0.389877746116371,0.313822961669271,0.296299292214358,gray17,darkolivegreen,lightyellow4
schHopeHS_TimberMS,https://github.com/Imageomics/Andromeda/raw/main/datasets/satelliteData/schHopeHS_TimberMS.png,Hopewell Central HS + Timberlane MS,.3mi,school,40.328281,-74.804559,40.33784,-74.825575,40.319148,-74.783438,0,0.156862745,0.282352941,0.299165847,0.42745098,0.960784314,0.165228972,0,0.250980392,0.360784314,0.353255277,0.450980392,0.952941176,0.132527115,0.003921569,0.176470588,0.247058824,0.27004928,0.337254902,0.952941176,0.12594629,0.145840646167947,0.368935479780326,0.557053614846626,0.231589758958417,0.415572181740591,0.540140498396479,0.16703389157779,0.297856443260889,0.491998803778378,0.444561080981708,0.399102858718632,0.15633606029966,gray18,gray36,lightyellow4
schTollGram,https://github.com/Imageomics/Andromeda/raw/main/datasets/satelliteData/schTollGram.png,Toll Gate Grammer,.3mi,school,40.321026,-74.78868,40.330632,-74.809579,40.311546,-74.767619,0,0.152941176,0.254901961,0.280143309,0.388235294,0.960784314,0.158383812,0,0.247058824,0.345098039,0.345860753,0.447058824,0.952941176,0.131762409,0.003921569,0.176470588,0.231372549,0.261731834,0.31372549,0.952941176,0.120515527,0.142835125162345,0.345528384481811,0.554528813459638,0.230221007688276,0.413897604493168,0.540403911403362,0.170613247978115,0.287173881410461,0.494382098422868,0.466645831418329,0.393637282838496,0.139716885743175,gray18,gray35,lightyellow4
