iNat_label,sat_label,iNat_url,sat_url,iNat_scientific_name,iNat_datetime,iNat_latitude,iNat_longitude,iNat_species_guess,sat_minRed,sat_firstQrtRed,sat_medianRed,sat_meanRed,sat_thirdQrtRed,sat_maxRed,sat_sdRed,sat_minGreen,sat_firstQrtGreen,sat_medianGreen,sat_meanGreen,sat_thirdQrtGreen,sat_maxGreen,sat_sdGreen,sat_minBlue,sat_firstQrtBlue,sat_medianBlue,sat_meanBlue,sat_thirdQrtBlue,sat_maxBlue,sat_sdBlue,iNat_add_numPoints,iNat_add_lux,iNat_add_temp
p1,goldBad,https://inaturalist-open-data.s3.amazonaws.com/photos/204636374/medium.jpeg,/Users/leannahouse/Documents/research/imageomics/quest/andromeda2023/mockData/goldBad.png,Lobatae,2022-06-09 10:10:00 -0400,37.2504015,-80.6664537,red oaks,0.00784313725490196,0.211764705882353,0.345098039215686,0.342291764705882,0.458823529411765,1,0.167775236057026,0.0274509803921569,0.270588235294118,0.407843137254902,0.380796470588235,0.486274509803922,1,0.153093894305503,0.0274509803921569,0.211764705882353,0.305882352941176,0.308590980392157,0.384313725490196,1,0.141144581091556,1,2.11734979466334,80.5739446008484
p2,goldBad,https://inaturalist-open-data.s3.amazonaws.com/photos/204636303/medium.jpeg,/Users/leannahouse/Documents/research/imageomics/quest/andromeda2023/mockData/goldBad.png,Populus,2022-06-09 10:10:02 -0400,37.2504015,-80.6664537,Moosewood,0.00784313725490196,0.211764705882353,0.345098039215686,0.342291764705882,0.458823529411765,1,0.167775236057026,0.0274509803921569,0.270588235294118,0.407843137254902,0.380796470588235,0.486274509803922,1,0.153093894305503,0.0274509803921569,0.211764705882353,0.305882352941176,0.308590980392157,0.384313725490196,1,0.141144581091556,1,2.36070800132488,82.2755126918963
p3,goldBad,https://inaturalist-open-data.s3.amazonaws.com/photos/204636336/medium.jpeg,/Users/leannahouse/Documents/research/imageomics/quest/andromeda2023/mockData/goldBad.png,Castanea dentata,2022-06-09 10:10:00 -0400,37.2485728184,-80.6674836683,American chestnut,0.00784313725490196,0.211764705882353,0.345098039215686,0.342291764705882,0.458823529411765,1,0.167775236057026,0.0274509803921569,0.270588235294118,0.407843137254902,0.380796470588235,0.486274509803922,1,0.153093894305503,0.0274509803921569,0.211764705882353,0.305882352941176,0.308590980392157,0.384313725490196,1,0.141144581091556,1,1.77573102158399,72.404109307696
p4,goldBad,https://inaturalist-open-data.s3.amazonaws.com/photos/203921258/medium.jpg,/Users/leannahouse/Documents/research/imageomics/quest/andromeda2023/mockData/goldBad.png,,2022-05-25 12:10:21 -0400,37.2461629761,-80.4092512154,,0.00784313725490196,0.211764705882353,0.345098039215686,0.342291764705882,0.458823529411765,1,0.167775236057026,0.0274509803921569,0.270588235294118,0.407843137254902,0.380796470588235,0.486274509803922,1,0.153093894305503,0.0274509803921569,0.211764705882353,0.305882352941176,0.308590980392157,0.384313725490196,1,0.141144581091556,4,2.00551522263478,80.2963398512285
p5,golfNice,https://inaturalist-open-data.s3.amazonaws.com/photos/204639334/medium.jpeg,/Users/leannahouse/Documents/research/imageomics/quest/andromeda2023/mockData/golfNice.png,Sassafras albidum,2022-06-09 10:23:00 -0400,NA,NA,Sassafras,0.0431372549019608,0.262745098039216,0.372549019607843,0.380834901960784,0.470588235294118,1,0.157069392091484,0.0549019607843137,0.313725490196078,0.419607843137255,0.418158823529412,0.505882352941176,1,0.144653172374275,0.0549019607843137,0.290196078431373,0.368627450980392,0.391945490196078,0.458823529411765,1,0.14607537016003,3,1.69519443119518,77.1119236202917
p6,golfNice,,/Users/leannahouse/Documents/research/imageomics/quest/andromeda2023/mockData/golfNice.png,,2023-05-22 13:46:30 -0600,51.4135504237,-116.2449355903,,0.0431372549019608,0.262745098039216,0.372549019607843,0.380834901960784,0.470588235294118,1,0.157069392091484,0.0549019607843137,0.313725490196078,0.419607843137255,0.418158823529412,0.505882352941176,1,0.144653172374275,0.0549019607843137,0.290196078431373,0.368627450980392,0.391945490196078,0.458823529411765,1,0.14607537016003,1,2.03537908833863,69.6313885833024
p7,golfNice,https://inaturalist-open-data.s3.amazonaws.com/photos/203921893/medium.jpg,/Users/leannahouse/Documents/research/imageomics/quest/andromeda2023/mockData/golfNice.png,,2022-06-03 10:48:19 -0300,NA,NA,,0.0431372549019608,0.262745098039216,0.372549019607843,0.380834901960784,0.470588235294118,1,0.157069392091484,0.0549019607843137,0.313725490196078,0.419607843137255,0.418158823529412,0.505882352941176,1,0.144653172374275,0.0549019607843137,0.290196078431373,0.368627450980392,0.391945490196078,0.458823529411765,1,0.14607537016003,1,1.99230645596482,76.8771678169679
p8,golfNice,https://inaturalist-open-data.s3.amazonaws.com/photos/204636318/medium.jpeg,/Users/leannahouse/Documents/research/imageomics/quest/andromeda2023/mockData/golfNice.png,Castanea dentata,2022-06-09 10:10:00 -0400,37.2496022353,-80.666705434,American Chestnut,0.0431372549019608,0.262745098039216,0.372549019607843,0.380834901960784,0.470588235294118,1,0.157069392091484,0.0549019607843137,0.313725490196078,0.419607843137255,0.418158823529412,0.505882352941176,1,0.144653172374275,0.0549019607843137,0.290196078431373,0.368627450980392,0.391945490196078,0.458823529411765,1,0.14607537016003,4,1.81113708871597,73.7173872738869
p9,golfNice,https://inaturalist-open-data.s3.amazonaws.com/photos/204636355/medium.jpeg,/Users/leannahouse/Documents/research/imageomics/quest/andromeda2023/mockData/golfNice.png,Quercus velutina,2022-06-09 10:10:00 -0400,37.2504015,-80.6664537,black oak,0.0431372549019608,0.262745098039216,0.372549019607843,0.380834901960784,0.470588235294118,1,0.157069392091484,0.0549019607843137,0.313725490196078,0.419607843137255,0.418158823529412,0.505882352941176,1,0.144653172374275,0.0549019607843137,0.290196078431373,0.368627450980392,0.391945490196078,0.458823529411765,1,0.14607537016003,2,2.04908675886922,67.6883432124749
p10,schHopewell1,https://inaturalist-open-data.s3.amazonaws.com/photos/204636390/medium.jpeg,/Users/leannahouse/Documents/research/imageomics/quest/andromeda2023/mockData/schHopewell1.png,Quercus velutina,2022-06-09 10:11:00 -0400,37.2504015,-80.6664537,black oak,0,0.23921568627451,0.388235294117647,0.395620784313725,0.549019607843137,1,0.203671189332884,0,0.282352941176471,0.435294117647059,0.422654117647059,0.56078431372549,1,0.193101465704647,0.0117647058823529,0.223529411764706,0.341176470588235,0.366381960784314,0.490196078431373,1,0.188923416124617,5,2.00870357650692,73.9140637429947
